"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-31 12:11:32,新北市,泰山區,Terence Chen,
No.2,2017-10-31 14:37:00,新北市,三重區,卡夫卡,
No.3,2017-10-31 17:53:15,臺北市,大安區,梁聖瑋,
No.4,2017-10-31 18:05:02,高雄市,岡山區,阿賢,贊成
No.5,2017-11-01 09:15:01,臺北市,信義區,火焰妖,贊成
No.6,2017-11-01 10:59:08,新竹縣,竹北市,天堂鳥,
No.7,2017-11-01 11:48:53,臺北市,中正區,張哈哈,
No.8,2017-11-02 09:21:11,新北市,新莊區,jack,
No.9,2017-11-02 10:55:56,臺北市,大同區,先,
No.10,2017-11-02 16:37:15,新北市,鶯歌區,Lilychou,
No.11,2017-11-03 07:37:30,新北市,樹林區,伶伶,
No.12,2017-11-03 09:23:30,新竹市,北區,林爸爸,
No.13,2017-11-03 17:37:04,新北市,土城區,台客,
No.14,2017-11-03 19:47:24,桃園市,中壢區,Chita,
No.15,2017-11-04 12:14:20,臺北市,中正區,S,
No.16,2017-11-04 12:23:25,新北市,中和區,嘟,贊成
No.17,2017-11-04 12:31:36,臺北市,北投區,LIN ROBERT,
No.18,2017-11-04 13:57:59,金門縣,金寧鄉,Swallow,
No.19,2017-11-04 23:27:40,高雄市,鳳山區,yun,
No.20,2017-11-05 21:56:19,臺中市,西區,Ciao,
No.21,2017-11-06 01:43:13,新北市,三重區,playgamenow,
No.22,2017-11-06 14:51:06,桃園市,桃園區,koenig,
No.23,2017-11-06 15:55:59,臺北市,內湖區,Mollie,
No.24,2017-11-07 11:38:39,桃園市,八德區,Jason,
No.25,2017-11-07 15:55:57,臺北市,內湖區,胡斐,
No.26,2017-11-10 20:06:54,臺中市,西屯區,風揚,非常贊成！
No.27,2017-11-10 21:42:20,高雄市,前鎮區,Fu,
