"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-12 00:28:36,臺中市,南屯區,皓皓,我覺得這個提議很有用
No.2,2017-12-12 08:08:44,新北市,新店區,may ray,
No.3,2017-12-13 07:22:59,臺中市,南區,解析傑西,
No.4,2017-12-13 07:33:03,桃園市,中壢區,小姑,支持本提議想法
No.5,2017-12-13 07:33:07,臺南市,中西區,Chi,
No.6,2017-12-13 07:40:21,新北市,中和區,😎,
No.7,2017-12-13 07:45:42,臺北市,中正區,丹尼老師,
No.8,2017-12-13 09:00:59,其它,廈門,報廢車,
No.9,2017-12-13 13:38:08,臺中市,大里區,Sean,"1.技職教育不應該是弱勢學生的選擇，而是準備就業的學生的選擇。要有這樣的認知，才不會讓社會對技職生有低人一等的觀念。
2.選擇技職教育應該是畢業即就業，應該免除不必要的必修學分例如歷史地理等等與就業無關的科目，除加強專業科目外還要加強與就業相關的科目如法律公安外語會話等….
3.學分訂得再高都沒用，落實考核才是真的，就讀容易畢業難才能提升學生的素質，社會對技職教育的認同才能提升。"
No.10,2017-12-15 20:07:59,高雄市,小港區,番薯,
No.11,2017-12-16 22:35:14,新北市,汐止區,梁聖瑋,

