"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-24 00:42:26,桃園市,中壢區,擱再萊車輪餅,"很棒
這樣才不會再有人亂貼"
No.2,2017-10-24 02:59:23,基隆市,信義區,玉米,
No.3,2017-10-24 08:22:00,桃園市,龜山區,Billy,
No.4,2017-10-24 08:26:54,新竹市,北區,宥,
No.5,2017-10-24 08:44:22,臺北市,松山區,Y不弱,
No.6,2017-10-24 09:04:43,桃園市,蘆竹區,robin,
No.7,2017-10-24 10:12:19,彰化縣,福興鄉,冷藏幸福,
No.8,2017-10-24 10:44:39,臺中市,梧棲區,franchintw,
No.9,2017-10-24 11:00:14,新北市,永和區,韓勳,
No.10,2017-10-24 12:03:04,臺北市,文山區,chichien,
No.11,2017-10-24 12:32:27,臺中市,西屯區,Jay,
No.12,2017-10-24 12:36:40,臺中市,大里區,CC,希望能改變市容
No.13,2017-10-24 13:31:07,臺中市,北區,林彈童,
No.14,2017-10-24 13:40:06,高雄市,楠梓區,dais,
No.15,2017-10-24 14:31:54,彰化縣,彰化市,黃核統,
No.16,2017-10-24 14:43:25,桃園市,平鎮區,Allen,
No.17,2017-10-24 14:54:49,臺中市,太平區,Richard,
