"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-29 10:15:49,臺南市,安平區,咬堯,此提議不做不行，這樣可以照顧到計程車從業人員和乘客的安全，更可以提高安全配備的規模經濟，從而降低全體國民採購安全配備的成本，減少重大事故傷害降低的社會成本更是不可限量
No.2,2017-10-29 10:34:54,新北市,中和區,YL Kuo,支持計程車建立安全配備標準，並定期考核駕駛，進行道安、急救與多種語言認證講習，違規者記點，縮短換證時間，啟動總量管制，建立淘汰機制，提升乘客搭乘的安全與品質！
No.3,2017-10-29 10:35:41,新北市,八里區,Gogoguti,
No.4,2017-10-29 10:53:09,臺北市,文山區,Ken,人命無法計價，付費的乘客理應有安全的乘作保障！！！
No.5,2017-10-29 11:23:40,新北市,中和區,Ping,支持
No.6,2017-10-29 12:18:00,嘉義市,東區,mumy,
No.7,2017-10-29 13:11:40,高雄市,小港區,阿德,
No.8,2017-10-29 13:53:53,苗栗縣,苑裡鎮,耿,安全第一
No.9,2017-10-29 14:15:26,嘉義縣,太保市,1111,
No.10,2017-10-29 17:26:02,新北市,汐止區,Hong,"乘客本來就享有乘車安全的基本權利。
淘汰老舊計程車及定期檢視駕駛人之健康及行車配備是否合乎標準。
有些計程司機年紀都太大、視力不佳，這種就不適任。
希望能落實並改善計程車的現況。


1.保障付費乘客的生命安全提高事故不幸發生後生存率
2.保障職業駕駛人執業期間行車安全
3.鞭策車廠在市售車輛更重視基本安全配備的配置與研發
4.促進國內計程車市場更健康發展  增加民眾使用意願
5.增進國人對於TW-NCAP完成的必需性及急迫性"
No.11,2017-10-29 19:10:58,臺中市,太平區,Jung,
No.12,2017-10-29 20:26:52,臺北市,內湖區,ㄚ屛,
No.13,2017-10-30 00:01:23,臺中市,北屯區,James Huang,我覺得應該順便立法禁止計程車擅自將輪胎處寸縮小。
No.14,2017-10-30 00:38:19,高雄市,岡山區,Smile阿賢,
No.15,2017-10-30 00:43:49,新北市,板橋區,果茶,
No.16,2017-10-30 01:07:34,新北市,平溪區,瀏海,安全第一
No.17,2017-10-30 05:37:39,臺中市,龍井區,天恩,
No.18,2017-10-30 09:08:04,臺中市,南屯區,陳勝昶,
No.19,2017-10-30 09:09:31,臺北市,文山區,ROOM LEE,
No.20,2017-10-30 09:29:38,臺中市,北屯區,kulawa,
No.21,2017-10-30 10:09:01,新竹市,香山區,兒兒兒,
No.22,2017-10-30 12:32:43,臺中市,北區,Canny,
