"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-08 15:04:32,臺北市,松山區,Horace,覺得可行，因為雖然提高罰則，但是對於本身奉公守法的民眾，此項政策並不太會影響到日常作息。除非本身常常因為要省麻煩或是趕時間，而忽落一些交通規則，對於這些民眾才會造成負擔，但是因為台灣目前現形罰則過於輕，導致台灣民眾對於守法的重要性並不重視，因此罰則的增加可以造成第一線的嚇阻作用，進而到如何教導駕駛人正確的用路準則，則是需要進一步的增加考取駕照的難易度，如何設計才能讓那些考取駕照的人是值得民眾放心上路的正確駕駛人，而不是台灣目前說的雞腿換駕照的三寶們。
No.2,2018-05-08 15:09:36,臺北市,大安區,中,
No.3,2018-05-09 13:06:47,新北市,三峽區,安東尼,酒駕更應該加重刑責，才不會常常看到那些一犯再犯的酒後駕駛
No.4,2018-05-10 09:20:24,新北市,林口區,匪諜,
No.5,2018-05-10 11:41:56,彰化縣,埔鹽鄉,Max,
No.6,2018-05-10 12:01:16,桃園市,中壢區,阿信,
No.7,2018-05-10 12:39:18,新北市,新店區,"Natasha ",
No.8,2018-05-10 12:49:28,新竹市,東區,nix,
No.9,2018-05-10 12:54:50,高雄市,前金區,皓呆一號,另建議罰金一定比例給檢舉人當檢舉獎金
No.10,2018-05-10 13:09:02,臺中市,太平區,sky huang,
No.11,2018-05-10 13:09:14,新竹市,北區,阿良,
No.12,2018-05-10 13:12:50,臺北市,中正區,kk,
No.13,2018-05-10 13:17:42,彰化縣,和美鎮,小火子,提高罰款金額，以強化國人的自制能力
No.14,2018-05-10 13:18:03,新北市,蘆洲區,SuperSunny,
No.15,2018-05-10 13:28:06,新北市,板橋區,弗立夫,
No.16,2018-05-10 13:30:29,新北市,樹林區,LEO CHANG,
No.17,2018-05-10 13:56:41,新北市,板橋區,Neo,
No.18,2018-05-10 14:44:52,臺北市,中正區,jeremy,
No.19,2018-05-10 15:33:37,新北市,新店區,明淳,
No.20,2018-05-10 15:39:08,臺北市,文山區,Day,罰則太輕有設等於沒設
No.21,2018-05-10 15:47:38,高雄市,楠梓區,小蔡,
No.22,2018-05-10 16:45:50,新北市,永和區,quain chen,"台灣的交通已到病入膏肓的地步。需要嚴刑峻罰才有辦法改善。
若無法治，僅憑人治是不可能有所改善的。
提高罰則或罰金，不但是保障用路人的權利，同時也是在保障開車或騎車人的生命安全。乃一兩全齊美的做法。"
No.23,2018-05-10 19:50:11,新北市,板橋區,阿洪,"本人長期居住國外
回台灣後尤其不適應
光是禮讓行人鮮少有行車駕駛人能做到
且台灣酒駕罰款極少，累犯者不在少數"
No.24,2018-05-10 22:41:33,臺北市,文山區,Andrew,
No.25,2018-05-10 23:03:01,臺中市,南屯區,will,
No.26,2018-05-11 00:09:31,臺北市,中山區,samuel,
No.27,2018-05-11 00:11:25,雲林縣,古坑鄉,阮哥,
No.28,2018-05-12 01:41:50,臺北市,大同區,GENE,
No.29,2018-05-14 14:04:52,桃園市,蘆竹區,Charles Tsao,
No.30,2018-05-14 17:08:01,高雄市,楠梓區,zephoenixro,
No.31,2018-05-15 09:30:59,新竹市,香山區,fang,

