"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-03-15 09:10:09,臺中市,沙鹿區,MLLee,
No.2,2017-03-21 20:04:20,花蓮縣,吉安鄉,支持,
No.3,2017-03-22 09:45:02,新北市,三重區,Alexander Luthor,
No.4,2017-03-23 20:44:18,新北市,汐止區,cons,
No.5,2017-03-27 11:21:08,臺中市,北屯區,阿良,
No.6,2017-03-28 15:20:48,新北市,樹林區,反惡法,
No.7,2017-04-08 00:33:13,桃園市,平鎮區,小日,
No.8,2017-04-08 16:32:48,臺北市,文山區,jimmy,
No.9,2017-04-09 16:29:40,臺中市,潭子區,拒絕強迫,年金都要倒了 拒絕在從人民身上挖錢 什麼都漲 薪水都沒漲 憑什麼還要強迫繳錢
No.10,2017-04-20 03:16:42,宜蘭縣,大同鄉,GM,
No.11,2017-05-03 21:43:30,彰化縣,彰化市,Tina,國民年金及勞保只能領一個，那為何失業還要繳呢？完全不合理的政策當然需要修改，怎麼算都知道現在繳的國民年金以後會領不到，還要懲罰失業沒工作的人
No.12,2017-05-04 01:03:15,新北市,淡水區,張君豪,
