"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-29 00:54:51,臺中市,清水區,阿發,
No.2,2017-11-29 07:59:33,新北市,永和區,cc,讓綠能資訊公開透明
No.3,2017-11-29 09:10:05,屏東縣,恆春鎮,Carson,想了解綠能發展現況
No.4,2017-11-29 09:25:17,屏東縣,恆春鎮,ephone,
No.5,2017-11-29 13:06:41,臺北市,文山區,小台,
No.6,2017-11-29 19:24:23,高雄市,鳳山區,開心小胖,標題:綠電發展與廢置土地活化。請幫忙支持附議。
No.7,2017-11-29 21:19:14,新北市,新莊區,John,
No.8,2017-11-30 01:30:19,臺北市,信義區,用愛發電,
No.9,2017-11-30 06:24:12,屏東縣,恆春鎮,"Rcwang ",
No.10,2017-11-30 13:03:58,新竹市,東區,怡能,不僅要做到資訊公開透明，而且要有複檢機制確認能源局、台電、地方政府提供的資訊是正確的。
No.11,2017-11-30 17:28:06,新竹市,東區,李顧問,有效提升綠能建置效能

