"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-16 08:31:34,臺北市,萬華區,allen,
No.2,2017-10-17 19:27:59,臺南市,下營區,阿村,
No.3,2017-10-18 08:59:52,桃園市,八德區,Jason,
No.4,2017-10-19 00:06:18,臺北市,大安區,偉人青,
No.5,2017-10-19 14:16:40,新北市,淡水區,DDPlayer,
No.6,2017-10-19 14:36:51,新北市,土城區,Kimi,
No.7,2017-10-20 10:50:47,新北市,中和區,酒駕去死去死,
No.8,2017-10-22 02:14:13,臺中市,中區,Homura Akemi,
No.9,2017-10-22 07:28:53,新竹縣,竹北市,sheauren,
No.10,2017-10-22 15:37:40,臺北市,士林區,守護者,
No.11,2017-10-22 17:34:01,臺東縣,臺東市,阿勇,
No.12,2017-10-22 17:34:35,高雄市,三民區,stupid,
No.13,2017-10-23 00:25:39,臺南市,善化區,男人,
No.14,2017-10-23 12:46:37,屏東縣,屏東市,暴哥,
No.15,2017-10-23 15:48:37,新竹市,香山區,兒兒兒,
No.16,2017-10-24 11:22:19,臺北市,中山區,Aga,
No.17,2017-10-24 20:34:28,桃園市,桃園區,jaya,
No.18,2017-10-25 13:07:14,桃園市,桃園區,JERRY,
No.19,2017-10-25 15:56:56,高雄市,左營區,Leokas,
No.20,2017-10-26 15:57:17,臺南市,安南區,邱邱,
No.21,2017-10-26 23:19:01,臺北市,中正區,饅頭,
No.22,2017-10-30 23:45:44,高雄市,左營區,rilakkuma,
No.23,2017-11-02 09:56:53,高雄市,左營區,小＿兵,
No.24,2017-11-03 21:44:25,臺中市,豐原區,mina,
No.25,2017-11-03 22:55:57,桃園市,中壢區,"Kenji ",
No.26,2017-11-28 22:43:00,新北市,新莊區,阿宸,
