"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-29 19:00:33,嘉義市,東區,咚咚,
No.2,2017-04-29 21:13:32,桃園市,平鎮區,Leo,需要安慰老師。
No.3,2017-04-30 14:47:54,苗栗縣,苗栗市,Yujie,
No.4,2017-05-01 04:48:47,高雄市,小港區,珊,
No.5,2017-05-01 18:13:12,臺北市,大安區,康至青,
No.6,2017-05-01 21:19:04,南投縣,南投市,咖,教師很辛苦，一個假日對老師的激勵很大
No.7,2017-05-01 22:43:07,新竹縣,竹北市,Poq,老師很辛苦
No.8,2017-05-01 23:51:27,高雄市,小港區,海灣之風,
No.9,2017-05-02 12:03:12,桃園市,八德區,Jason,"勞工放勞動節，軍人放軍人節，母親放母親節(雖然本來就訂在假日)，教師也該放個教師節。
順便一提，父親也該放父親節。"
No.10,2017-05-02 18:12:24,臺中市,西區,Charles Lee,
No.11,2017-05-03 20:57:40,高雄市,前鎮區,饅頭,
No.12,2017-05-03 21:48:02,新竹縣,新豐鄉,Mr.S,"有假大家放 也請支持""宅版錢瞻計畫"",""調整行政區有效整合區域資源"",""建立立體交通網徹底解決交通問題"",""教育改革應從建立大數據庫&學分制度著手"",""禁止商業繁殖貓狗"",""央行應該建立外匯交易結算系統, 將買賣申報數據化"",""建議政府發行特別股與民眾交換公共設施保留地"","
No.13,2017-05-05 13:55:42,嘉義縣,民雄鄉,Hou Ru,
No.14,2017-05-05 13:58:05,嘉義市,西區,鴻,
No.15,2017-05-05 13:59:22,嘉義縣,鹿草鄉,Wendy,
No.16,2017-05-05 15:01:49,南投縣,水里鄉,Angela,
No.17,2017-05-10 16:13:38,桃園市,桃園區,北辦1,
No.18,2017-05-10 22:00:46,臺北市,信義區,lotus,教師節是紀念至聖先師的日子
No.19,2017-05-11 06:55:47,新北市,板橋區,Mikey,The teachers need to be respected!
