"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-02-16 01:44:07,臺南市,北區,Wayne,
No.2,2017-02-16 10:34:43,新北市,新店區,Ma Jason,
No.3,2017-02-16 14:55:16,雲林縣,莿桐鄉,CND,
No.4,2017-02-16 21:09:26,宜蘭縣,礁溪鄉,ZHW,
No.5,2017-02-18 09:31:05,臺北市,中正區,陳趴趴,既然法官跟犯人家屬對於警察在執行公務時的槍支使用很有個人想法。那就提供警察不致命武器的裝備吧
No.6,2017-02-19 22:43:11,臺北市,中山區,Ko-Wei Tseng,
No.7,2017-02-20 11:49:50,彰化縣,彰化市,MAX Hsieh,
No.8,2017-02-21 15:18:04,新北市,淡水區,Wei,警察槍械使用存在爭議 或許這會是降低爭議的方法之一。
No.9,2017-02-22 00:17:49,臺中市,北區,Chi-Lin,
No.10,2017-02-23 08:45:52,臺中市,南屯區,Brian Huang,對於警察使用非致命武器，應做妥適規劃，並全面修改警械使用條例，納入各種非致命武器，明確訂定使用時機方法，始警察人員免於使用恐懼，所帶來的法律責任。
No.11,2017-02-24 17:34:49,臺北市,萬華區,羅,
No.12,2017-02-25 09:41:24,屏東縣,屏東市,趙小如,
