"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-25 00:36:57,新北市,新莊區,呱呱,
No.2,2017-04-25 00:44:16,新北市,新莊區,Victoria,
No.3,2017-04-25 00:53:21,臺南市,下營區,Elaine,這個塑膠循環經濟的概念相當好!如此可以減少很多塑膠對人類與環境的危害
No.4,2017-04-25 01:15:57,彰化縣,芳苑鄉,大輝,塑膠汙染要快點解決
No.5,2017-04-25 01:31:18,臺北市,信義區,kenny,
No.6,2017-04-25 01:33:53,桃園市,中壢區,Carly,環保議題值得矚目
No.7,2017-04-25 08:12:43,臺南市,安定區,Hsin,
No.8,2017-04-25 08:12:49,新北市,新莊區,魚,
No.9,2017-04-25 08:14:29,臺南市,麻豆區,Highlight,
No.10,2017-04-25 08:24:18,臺南市,西港區,嘎嘎,
No.11,2017-04-25 08:35:11,臺南市,安定區,和黛,
No.12,2017-04-25 08:37:11,新北市,淡水區,cathy,
No.13,2017-04-25 08:37:35,臺南市,佳里區,帥哥樂,
No.14,2017-04-25 08:39:55,臺南市,麻豆區,許芳甄,
No.15,2017-04-25 08:42:57,臺南市,佳里區,小高,我支持塑膠***減量
No.16,2017-04-25 08:43:58,臺南市,麻豆區,Sih,我認為她們所著重的點，正是政府需要做的，她們替政府規劃了如此詳盡的計劃。
No.17,2017-04-25 08:56:37,臺南市,佳里區,昀霈,
No.18,2017-04-25 09:00:08,臺南市,學甲區,Jy,
No.19,2017-04-25 09:04:21,屏東縣,萬巒鄉,Ku,
No.20,2017-04-25 09:07:07,臺南市,安定區,Wun,"減少塑膠***的產生，讓地球更加美好。
是個不錯的環保議題概念。"
No.21,2017-04-25 09:16:14,臺北市,萬華區,AC,很好的提案
No.22,2017-04-25 09:17:43,新竹縣,竹東鎮,Nonno,
No.23,2017-04-25 09:21:56,臺中市,南區,"!!!!!",
No.24,2017-04-25 09:23:19,臺南市,學甲區,Arrogance,
No.25,2017-04-25 09:27:20,臺南市,安南區,Michelle huan,I'm
No.26,2017-04-25 10:12:46,臺中市,太平區,Albert Wen,
No.27,2017-04-25 10:16:00,桃園市,龜山區,MY,
No.28,2017-04-25 10:25:27,臺南市,將軍區,blue,
No.29,2017-04-25 10:40:42,新竹市,北區,曉光,塑膠循環經濟的概念值得推廣，很棒，加油哦
No.30,2017-04-25 10:49:39,嘉義縣,竹崎鄉,藍念蓁,
No.31,2017-04-25 10:53:06,臺中市,南區,昕,
No.32,2017-04-25 10:53:06,嘉義市,西區,wei hong hong,
No.33,2017-04-25 10:55:06,臺南市,佳里區,autumn,覺得是個很棒的政策 能幫助環境
No.34,2017-04-25 10:58:41,桃園市,龜山區,林福山,環保很重要
No.35,2017-04-25 11:05:40,宜蘭縣,羅東鎮,以音,推一個
No.36,2017-04-25 11:18:39,臺南市,七股區,騏騏,
No.37,2017-04-25 11:33:34,臺中市,西屯區,"Roger ",減塑＋重塑=O塑膠產出
