"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-03-29 14:22:10,新北市,中和區,Qing Ji,
No.2,2017-03-29 23:57:57,彰化縣,彰化市,聖光,
No.3,2017-03-31 22:35:06,桃園市,桃園區,孫于翔,
No.4,2017-04-01 01:50:23,屏東縣,新園鄉,阿昆,形之聲一事確實體現了部分群眾的無知，但也體現了台灣的人民擁有的發言權，不過希望往後使用發言權的人能說出有涵養的話，先從台灣已經爛很久的媒體和八點檔下手。
No.5,2017-04-01 02:12:42,彰化縣,永靖鄉,終わりの世界,
No.6,2017-04-01 02:25:42,彰化縣,永靖鄉,人間失格,
No.7,2017-04-01 08:35:37,高雄市,三民區,Dream,涉及暴力等不當內容，且是在電視上播出，深怕影響小孩未來發展及心智的影響！
No.8,2017-04-01 13:06:29,桃園市,平鎮區,ほのが,
No.9,2017-04-01 18:05:06,彰化縣,永靖鄉,天罰,
No.10,2017-04-01 18:20:51,臺中市,南屯區,悲嘆冥河,
No.11,2017-04-01 19:10:40,臺中市,南屯區,黃泉彼岸,
No.12,2017-04-01 22:42:22,高雄市,鳥松區,Ne,那些八點檔才真的是應該好好整治的東西，不要什麼都牽拖動畫
No.13,2017-04-02 12:32:26,高雄市,小港區,紫奏,
No.14,2017-04-03 16:38:16,新北市,中和區,gjh4028,
No.15,2017-04-04 14:14:09,臺北市,大安區,康至青,
No.16,2017-04-11 22:26:45,臺北市,信義區,里安,
No.17,2017-04-12 18:38:44,臺中市,南區,林,
No.18,2017-04-13 15:16:24,彰化縣,二林鎮,hcy,
No.19,2017-04-14 11:03:17,臺中市,西屯區,huang2314820182,"台灣的鄉土劇才是造成社會不安的原因，各種灑狗血、呼巴掌、爾虞我詐、強鑽法律漏洞，甚至犯罪、殺人的情節，居然還只有保護級，難怪最近這麼多聰明卻完全用錯地方的小孩。
不想讓下一代更慘，就請政府嚴加管制台灣的鄉土劇。"
No.20,2017-04-16 13:36:40,高雄市,大寮區,天送,降低農產品農藥殘留量
No.21,2017-04-25 17:55:11,臺南市,永康區,明天要Seminar了還不準備?,
No.22,2017-04-25 22:54:25,高雄市,仁武區,影舞葉,有很多的鄉土劇都是這種不當的內容，如:迷姦、僱人去強暴某人、輕易的傷害他人的生殖器官......等，結果審查內容還是普遍級，應當禁播或深夜撥出這類鄉土劇，以免對我國幼童在無形間灌輸錯誤的觀念。
No.23,2017-04-29 21:20:30,高雄市,三民區,不知道,
No.24,2017-05-19 01:58:29,臺中市,大里區,Lily,
No.25,2017-05-20 16:15:09,新北市,板橋區,夜影,
No.26,2017-05-23 22:16:39,臺北市,內湖區,SYT,
No.27,2017-05-24 09:16:26,基隆市,暖暖區,佑yo,支持，真的太沒水準
