"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-08 13:50:26,新北市,八里區,wei hong hong,
No.2,2017-04-09 11:32:41,嘉義市,東區,Leo Chen,
No.3,2017-04-11 22:14:04,臺北市,大安區,里安,維持更好的交通環境！
No.4,2017-04-12 08:12:10,澎湖縣,湖西鄉,gemi,為維持交通安全，為了自身與他人的安全，所有用路人都需要透過教育而取得執照，現行制度設計是以交通工具的體積與動力輸出作為規範依據，越是輕型的交通工具越容易取得用路執照甚至是不用執照，這樣是不妥當的。
No.5,2017-04-13 14:51:30,花蓮縣,花蓮市,簡單生活,
No.6,2017-04-13 15:29:09,臺北市,內湖區,roger,贊成
No.7,2017-04-15 12:25:56,臺北市,大安區,康至青,
No.8,2017-04-16 14:26:43,臺南市,學甲區,嘉熺,不要縱容3寶謝謝
No.9,2017-04-19 00:41:56,臺中市,南區,恐龍妹之吻,
No.10,2017-04-19 10:37:40,臺北市,中山區,Formosan,
No.11,2017-04-20 22:15:34,桃園市,楊梅區,淇,
No.12,2017-04-23 20:39:36,桃園市,桃園區,O,
No.13,2017-04-24 15:51:19,新北市,蘆洲區,冰紅茶,電動機車不需考照即可上路的措施，已導致許多未成年與交通法規常識不足的民眾騎乘上路，嚴重威脅其他用路人的安全，應強制考照保障用路人安全。
No.14,2017-04-26 03:31:30,臺南市,東區,Sekia,
No.15,2017-04-28 09:26:12,臺中市,大里區,肥棉花糖,
No.16,2017-04-29 21:07:38,高雄市,三民區,不知道,
No.17,2017-05-07 04:42:48,臺北市,中正區,Jerry,
No.18,2017-05-10 10:26:55,雲林縣,莿桐鄉,May,
No.19,2017-05-13 13:07:28,臺中市,北屯區,龍貓,
No.20,2017-05-14 02:35:11,臺中市,北屯區,任,
No.21,2017-05-17 19:56:52,彰化縣,彰化市,小鯨魚,
No.22,2017-05-18 16:39:10,新竹市,東區,小布,
No.23,2017-05-23 22:17:25,臺北市,內湖區,SYT,
No.24,2017-05-26 17:32:49,新北市,新莊區,4682,
