"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-24 01:44:07,臺中市,沙鹿區,lihsun,支持
No.2,2018-02-24 03:11:56,臺南市,永康區,Jake,
No.3,2018-02-24 07:46:22,連江縣,南竿鄉,卡蹓,百分百支持
No.4,2018-02-24 13:00:24,新北市,樹林區,洪清鐘,健保卡乃國人身份象徵，可以有身份證識別功能，應該融入身份證系統。
No.5,2018-02-24 19:37:21,高雄市,岡山區,阿翔,
No.6,2018-02-25 11:12:02,新竹縣,寶山鄉,Omnirock,簡化證件，不用攜帶多張證件，最好駕駛執照也一併納入身份證。
No.7,2018-02-25 11:31:16,臺中市,北屯區,Vw,
No.8,2018-02-25 14:17:39,新北市,新莊區,林晉賢,
No.9,2018-02-25 20:13:47,彰化縣,埔心鄉,緯緯,
No.10,2018-02-26 09:42:58,新北市,板橋區,博塩,政府都在浪費錢，做沒意義的事⋯⋯駕照健保卡身分證應該合一
No.11,2018-02-26 09:50:04,雲林縣,大埤鄉,喵恩,
No.12,2018-02-26 10:26:57,新北市,土城區,LiYin,"電子化時代早已來臨
若能整併兩卡成為一卡，當然是最方便不過的事情
不過，可以從國中以下尚未領取身分證的孩子開始進行
如此能減少資源浪費，再接著漸進改變"
No.13,2018-02-26 12:37:53,臺南市,新化區,紅不讓,"這是先進國家必要的事情、多卡合一！
"
No.14,2018-02-26 13:20:47,新北市,泰山區,Terence Chen,
No.15,2018-02-26 14:16:45,桃園市,平鎮區,台灣郎,
No.16,2018-02-26 14:28:33,臺南市,安平區,momobar,
No.17,2018-02-26 15:22:58,高雄市,鳳山區,蔡菜,
No.18,2018-02-26 17:35:15,新北市,新莊區,森里螢一,希望健保卡、駕照及電子票證都能夠整合進未來所要換發的晶片身分證裡。

