"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-27 00:43:03,新竹縣,竹北市,Eddie,
No.2,2017-12-27 00:59:12,嘉義縣,梅山鄉,阿輝,非常支持
No.3,2017-12-27 01:12:32,高雄市,鼓山區,皓,
No.4,2017-12-27 01:14:23,桃園市,桃園區,鯨魚,
No.5,2017-12-27 05:11:04,桃園市,中壢區,蘋果棉棉,有效遏阻酒駕，才能保障大家的安全
No.6,2017-12-27 07:38:18,基隆市,信義區,Alex Chen Wythe,
No.7,2017-12-27 09:28:38,基隆市,信義區,快手亂玩,
No.8,2017-12-27 10:29:09,臺中市,大雅區,Sung,
No.9,2017-12-27 11:12:52,基隆市,中正區,Camy,
No.10,2017-12-27 11:17:37,新竹縣,竹北市,HelpHELPhelp,
No.11,2017-12-27 11:36:20,花蓮縣,花蓮市,Phoenix,
No.12,2017-12-27 12:09:01,苗栗縣,苗栗市,若若,
No.13,2017-12-27 13:25:02,新北市,新店區,小八,
No.14,2017-12-27 14:17:38,新北市,土城區,PG,
No.15,2017-12-27 14:35:32,新北市,八里區,Fion,支持
No.16,2017-12-27 17:21:46,新北市,中和區,1234,
No.17,2017-12-27 18:15:02,桃園市,中壢區,玉萍,
No.18,2017-12-27 18:39:56,新竹縣,五峰鄉,張小艾,我附議
No.19,2017-12-27 18:40:49,基隆市,中山區,ya-hui cheng,
No.20,2017-12-27 18:47:55,新北市,新莊區,anita,
No.21,2017-12-27 19:10:07,新竹縣,竹北市,醬好嗎,
No.22,2017-12-27 20:33:53,新北市,新莊區,Coco,酒駕所造成的意外事件是能夠避免的，只有法律懲處上能夠加重。
No.23,2017-12-27 23:07:22,桃園市,平鎮區,baby,
No.24,2017-12-28 02:24:16,桃園市,平鎮區,"芸 ",
No.25,2017-12-28 12:05:40,桃園市,龍潭區,吉,
No.26,2017-12-28 18:55:58,高雄市,小港區,卡丹絲,
No.27,2017-12-29 09:41:37,新北市,中和區,winnie,
No.28,2017-12-29 15:10:47,臺南市,北區,憂國,"台灣酒駕罰太輕
根本是酒駕天堂"
No.29,2017-12-30 03:46:10,基隆市,信義區,Suwei,
No.30,2018-01-01 19:46:43,臺中市,豐原區,Anbuer,
No.31,2018-01-02 10:11:48,臺北市,北投區,Flora,
No.32,2018-01-04 18:54:43,新北市,三重區,Julie,
No.33,2018-01-04 21:05:07,基隆市,安樂區,伍咩,酒駕完全是自己造成的，個人的錯誤選擇，一定要讓酒駕者知道他的錯誤會影響多大，並且付出代價
No.34,2018-01-04 22:02:41,臺北市,南港區,jack,酒駕高居死亡交通事故首位，對於公共安全的危害甚大，因此支持任何可以對酒駕者處罰的方案。
No.35,2018-01-04 22:03:06,彰化縣,彰化市,forpush,期望能抑制酒駕的發生
No.36,2018-01-04 22:07:32,新北市,三重區,石帝霸,
No.37,2018-01-04 22:25:35,新竹市,東區,Sam,
No.38,2018-01-05 05:53:07,臺北市,北投區,誅滅奸邪,如果可以把勞役結合公益，那是蠻有意義的事情，只是ㄧ個月10小時太少了，要加長一點。
No.39,2018-01-05 06:43:39,新竹市,北區,Eric,
No.40,2018-01-05 11:49:42,臺北市,南港區,大南港,
No.41,2018-01-05 13:14:12,高雄市,前鎮區,Ohdi,
No.42,2018-01-05 13:17:51,新北市,汐止區,NDark,
No.43,2018-01-06 22:43:08,新北市,泰山區,支持你,
No.44,2018-01-07 19:11:30,新北市,三重區,Vagabond,
No.45,2018-01-09 21:10:34,基隆市,安樂區,Majesty,"只要酒駕,不須經法院審判,直接兩星期有期徒刑,罰金100萬,以供成立酒駕受害者補償基金
另提案人內容修改如下,無法院同意而未到者,比照酒駕處分之.可按次處罰
1、    情節輕微者，每個月60小時社會服務，每年720小時，共計3年 。
2、    情節嚴重者，每個月100小時社會服務，每年1200小時，共計10年 。"
No.46,2018-01-13 00:12:11,臺中市,潭子區,Hank,
No.47,2018-01-18 10:58:29,臺中市,東區,Edgar,
No.48,2018-01-21 21:25:39,臺中市,大里區,瓢蟲,

