"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-03 02:56:41,新竹市,香山區,斷山者,"訴願是國民的權益
應該獲得保障
這樣的流程應兼顧實質正義暨程序正義
法治國家更應該在這樣行政流程不只單純行政而已
而是透過確實執行並受監督來真正保障這樣的權益"
No.2,2018-04-03 21:38:51,臺北市,南港區,Lky,
No.3,2018-04-07 17:16:56,花蓮縣,花蓮市,王金財,
No.4,2018-04-08 03:36:49,花蓮縣,吉安鄉,林肯,
No.5,2018-04-09 01:23:36,新北市,泰山區,Wolf,
No.6,2018-04-09 08:55:43,桃園市,龜山區,高先生,認同
No.7,2018-04-09 12:28:55,高雄市,楠梓區,zephoenixro,
No.8,2018-04-09 22:25:49,臺中市,神岡區,馮先生,
No.9,2018-04-10 13:04:23,臺北市,信義區,皇龍,
No.10,2018-04-11 01:33:19,臺北市,萬華區,shin205,
No.11,2018-04-12 03:45:37,桃園市,平鎮區,好點子不挺嗎,
No.12,2018-04-23 14:04:13,高雄市,彌陀區,JingCheng,
No.13,2018-05-09 06:52:47,臺北市,北投區,KH Wang,"訴願，是提起行政訴訟的先決條件，未經訴願程序，不能提起行政訴訟。
行政機關對於人民的訴願，先用公文回應願意改正施政缺失卻不改正，請檢具證據向行政法院提告，提告罪刑再加一項：偽造公文書！"

