"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-12 15:15:39,臺北市,大安區,Ong Kian,
No.2,2018-05-15 23:18:41,屏東縣,恆春鎮,nautiluschen,
No.3,2018-05-15 23:37:35,新北市,三峽區,王道阿隆,
No.4,2018-05-16 12:58:51,新竹市,東區,nini,
No.5,2018-05-17 17:27:53,臺北市,中山區,小正,
No.6,2018-05-18 13:10:49,桃園市,平鎮區,BLUE777,
No.7,2018-05-19 16:33:16,臺中市,大里區,侯柑新,
No.8,2018-05-20 18:12:05,臺南市,永康區,君霖,
No.9,2018-05-21 18:02:34,新北市,板橋區,66,
No.10,2018-05-21 18:15:35,桃園市,中壢區,丹陽,時常聽聞政府部門人力不足，造成業務繁重，公務人員過勞之類。公佈編制人數，可以使人民在面對公務人員狀況時，更能夠體諒。
No.11,2018-05-21 18:20:17,臺北市,中山區,KH L,
No.12,2018-05-21 19:13:28,臺北市,文山區,小吳,
No.13,2018-05-21 19:35:34,臺中市,大里區,助,
No.14,2018-05-21 19:44:07,高雄市,湖內區,奇峰,
No.15,2018-05-21 20:02:34,臺中市,南屯區,m297767,
No.16,2018-05-21 20:23:05,新竹市,東區,凱文,
No.17,2018-05-21 21:11:13,臺中市,西區,魚,經常發生高層「有權卻無責」、「外行領導內行」的狀況....希望能避免...選舉文化毀國的狀況....
No.18,2018-05-21 21:13:37,苗栗縣,竹南鎮,Daniel,
No.19,2018-05-21 21:35:48,高雄市,鳥松區,Rio,
No.20,2018-05-21 21:42:47,臺北市,文山區,Jessica,
No.21,2018-05-21 22:00:59,桃園市,桃園區,胖子,
No.22,2018-05-22 02:15:40,臺南市,永康區,Jake,
No.23,2018-05-22 08:28:00,臺北市,大同區,LKH,支持！！！
No.24,2018-05-22 09:06:12,臺北市,士林區,Benfortaian,
No.25,2018-05-22 12:29:47,嘉義縣,新港鄉,RP,
No.26,2018-05-22 13:14:05,苗栗縣,竹南鎮,PetersPan,。
No.27,2018-05-22 14:20:01,臺北市,內湖區,李先生,
No.28,2018-05-22 14:31:56,彰化縣,溪州鄉,隨風飄,
No.29,2018-05-22 16:23:02,屏東縣,萬丹鄉,kianhongong,
No.30,2018-05-22 18:34:11,臺北市,北投區,Eunice,
No.31,2018-05-22 20:09:31,高雄市,鳳山區,Ryan,
No.32,2018-05-22 21:34:50,彰化縣,福興鄉,洪先生,"感覺最近政府的臨時編制過多,而且有些跟正式的政府機構功能重複,希望能將功能相近的合併,或釐清職權避免公資源的浪費."
No.33,2018-05-22 23:46:24,新北市,中和區,BensonHuang,
No.34,2018-05-23 07:47:45,南投縣,南投市,飛俠阿渣,
No.35,2018-05-23 11:28:09,桃園市,平鎮區,洪玉蘭,
No.36,2018-05-25 12:50:21,新北市,三峽區,王道阿隆,
No.37,2018-05-26 03:33:51,桃園市,桃園區,JonDuen,

