"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-04 00:15:32,高雄市,大寮區,南瓜,
No.2,2017-11-04 00:29:39,基隆市,仁愛區,跩跩,"真的在服務的不是店家 , 而是任勞任怨的服務生！"
No.3,2017-11-04 00:41:04,桃園市,中壢區,那個政宏,贊成
No.4,2017-11-04 00:49:16,臺北市,北投區,附議,
No.5,2017-11-04 01:03:54,高雄市,路竹區,淇淇,
No.6,2017-11-04 01:24:40,花蓮縣,花蓮市,駿,
No.7,2017-11-04 01:44:56,宜蘭縣,宜蘭市,ya,
No.8,2017-11-04 02:39:32,臺中市,太平區,りく,
No.9,2017-11-04 03:17:51,桃園市,桃園區,克達,服務者才應該領服務費，非企業主
No.10,2017-11-04 03:27:00,臺中市,南區,濕兔子,
No.11,2017-11-04 06:52:19,新北市,五股區,小林,
No.12,2017-11-04 07:22:42,高雄市,前鎮區,Dark,
No.13,2017-11-04 08:22:45,臺北市,中山區,Ryan,"服務費是給服務人員,不是給老闆"
No.14,2017-11-04 08:55:56,新北市,板橋區,Roy,
No.15,2017-11-04 09:11:33,嘉義市,東區,熊本,
No.16,2017-11-04 09:12:13,新北市,淡水區,這樣可以讓服務品質更好，不用排那麼長的隊,這樣可以讓服務品質更好，不用排那麼長的隊
No.17,2017-11-04 09:47:59,臺南市,新市區,蒨,
No.18,2017-11-04 09:49:01,嘉義縣,水上鄉,Amy,
No.19,2017-11-04 09:52:34,臺南市,東區,Alex,
No.20,2017-11-04 10:02:53,雲林縣,斗六市,祐見花開,
No.21,2017-11-04 10:05:07,臺中市,東區,州哥,
No.22,2017-11-04 10:47:22,新北市,新莊區,糖糖,
No.23,2017-11-04 11:12:56,臺南市,新化區,大胖文,
No.24,2017-11-04 11:27:22,臺北市,文山區,Rysa,
No.25,2017-11-04 11:29:32,新北市,三重區,James Wang,
No.26,2017-11-04 11:32:25,彰化縣,二水鄉,Isa,
No.27,2017-11-04 11:38:08,新北市,三重區,🐑,
No.28,2017-11-04 11:41:43,臺中市,沙鹿區,芩,
No.29,2017-11-04 11:49:53,基隆市,中山區,錡,
No.30,2017-11-04 11:57:02,桃園市,龍潭區,"Laura ",
No.31,2017-11-04 12:02:10,新北市,新店區,Aaron,
No.32,2017-11-04 12:02:45,臺南市,安平區,小歐,
No.33,2017-11-04 12:06:07,臺南市,中西區,vob,
No.34,2017-11-04 12:12:26,新北市,新莊區,Christine,每次都收10%服務費，但又不是給服務員，那我為什麼要出這筆錢呢？不如現在立法規定這筆錢給服務員，不要都老闆賺
