"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-24 01:36:36,新北市,三重區,九元,
No.2,2017-10-24 08:23:42,金門縣,金城鎮,Ranger,
No.3,2017-10-24 11:34:54,新北市,新莊區,JACK,
No.4,2017-10-24 16:01:29,新北市,淡水區,Marco,
No.5,2017-10-24 17:13:57,高雄市,苓雅區,哇哈哈,
No.6,2017-10-24 17:15:37,桃園市,平鎮區,阿棋,"應該合法
並非每個家庭都買的了汽車"
No.7,2017-10-24 20:53:51,臺南市,新市區,linzy,
No.8,2017-10-24 21:00:09,桃園市,桃園區,郭小佑,
No.9,2017-10-24 21:40:20,屏東縣,萬巒鄉,魯國國相,
No.10,2017-10-24 21:44:30,桃園市,蘆竹區,林樂樂,
No.11,2017-10-24 22:08:44,新北市,土城區,臻,
No.12,2017-10-24 23:47:48,臺中市,南區,Yellow duck,真的不是每個父母都買得起車子，而且公共運輸城鄉差距太大，有些鄉下地方甚至連公車、計程車都沒有，小孩不站前面要怎麼載?
No.13,2017-10-25 00:17:59,桃園市,桃園區,Jinbo,
No.14,2017-10-25 08:02:08,宜蘭縣,冬山鄉,林小欣,真的不是想買車就買得起、養得起！
No.15,2017-10-25 09:29:27,新竹市,東區,Jung Wu,
No.16,2017-10-25 10:10:18,新北市,板橋區,Janet,
No.17,2017-10-25 10:22:51,宜蘭縣,冬山鄉,Onlynn,
No.18,2017-10-25 11:21:56,臺北市,內湖區,媃,並不是每個地方都適合開車OR有大中運輸交通工具，也不是每個家庭都有能力有汽車，誰會希望自己的小孩有危險，很多時候都是不得已
No.19,2017-10-25 11:36:38,高雄市,苓雅區,Chihyu,
No.20,2017-10-25 11:44:10,新北市,新莊區,畫畫,
No.21,2017-10-25 11:59:34,嘉義縣,中埔鄉,沉默,
No.22,2017-10-25 12:36:39,桃園市,楊梅區,關懷者,不是人人都買的起車，母親也有帶小孩出門的權利。
No.23,2017-10-25 14:32:24,雲林縣,褒忠鄉,河,
No.24,2017-10-25 14:55:26,桃園市,楊梅區,澎澎,
No.25,2017-10-25 16:06:53,新北市,汐止區,無敵,
No.26,2017-10-25 16:08:52,臺中市,北屯區,阿正,
No.27,2017-10-25 18:02:48,新北市,泰山區,小小,
No.28,2017-10-25 21:11:14,高雄市,三民區,黑皮,
No.29,2017-10-25 22:23:10,新北市,永和區,霜兒,
No.30,2017-10-25 23:45:29,新北市,三重區,VV,
No.31,2017-10-26 00:45:58,新北市,板橋區,Cindy,
No.32,2017-10-26 02:13:19,桃園市,平鎮區,Me兔,
No.33,2017-10-26 09:56:21,臺北市,內湖區,貧窮家長,買不起車~~~~
No.34,2017-10-26 13:55:52,桃園市,平鎮區,三寶媽,
No.35,2017-10-26 15:05:15,高雄市,楠梓區,想一想,如果是為了安全而規定就應該要檢討，安全需要的是教育與宣導，而不是禁止。
No.36,2017-10-26 21:19:05,臺北市,萬華區,單單,
No.37,2017-10-26 22:47:26,基隆市,安樂區,Hat,
No.38,2017-10-27 08:40:41,宜蘭縣,員山鄉,黃景瑋,
No.39,2017-11-01 04:07:24,新北市,新莊區,紫依,合法依規增設座椅，總比自己亂改造還要安全!!
No.40,2017-11-04 09:24:08,新北市,樹林區,心平氣和,
No.41,2017-11-04 12:30:10,臺北市,北投區,LIN ROBERT,
No.42,2017-11-06 16:01:34,臺北市,內湖區,Mollie,
No.43,2017-11-13 20:54:03,桃園市,龜山區,鄭小姐,沒錯，很多家庭不是說買車就買車，社會上沒有那麼多有錢人
