"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-01 01:44:32,屏東縣,新園鄉,阿昆,一般打靶的年費是六萬以上，基本上學生甚至剛出社會的人士是不可能負擔的起的，希望政府真心推動全民國防開放或設置部分射擊場。
No.2,2017-04-01 12:54:31,屏東縣,屏東市,Pian,
No.3,2017-04-01 14:16:12,屏東縣,屏東市,Honda,有助全民國防
No.4,2017-04-01 14:52:02,臺北市,北投區,Topgun,
No.5,2017-04-01 19:00:03,嘉義縣,東石鄉,翔智,
No.6,2017-04-01 22:58:40,臺中市,南區,烈焰鍋貼,"藉此可強化保家衛國的意志,是不錯的"
No.7,2017-04-01 23:43:23,高雄市,鳥松區,r1235613,
No.8,2017-04-02 00:24:52,新北市,永和區,建錡,支持
No.9,2017-04-02 01:00:36,花蓮縣,壽豐鄉,阿翔,
No.10,2017-04-02 13:25:45,臺東縣,臺東市,陳一尾,
No.11,2017-04-02 14:04:50,臺中市,西區,Charles Lee,
No.12,2017-04-02 14:24:54,臺中市,西區,CC,
No.13,2017-04-02 15:30:17,桃園市,中壢區,K,
No.14,2017-04-02 16:28:38,臺中市,南屯區,WhyQQ,
No.15,2017-04-02 16:36:00,新北市,樹林區,wario,
No.16,2017-04-02 20:33:23,臺中市,中區,Homura Akemi,
No.17,2017-04-02 21:24:44,新竹市,東區,CWJyun,
No.18,2017-04-02 21:44:42,屏東縣,車城鄉,阿勳,支持，可強化全民國防教育
No.19,2017-04-03 00:51:57,新北市,新莊區,苗瀚庭,支持
No.20,2017-04-03 11:50:19,臺中市,沙鹿區,布布恰恰,支持，一旦未來需要保衛國家或者家人的時候尚有一點能力可以依靠。
No.21,2017-04-04 03:36:17,新北市,三重區,kidstarkenny,
No.22,2017-04-04 13:54:42,臺北市,大安區,康至青,
No.23,2017-04-04 15:45:53,高雄市,前鎮區,戰警,支持
No.24,2017-04-04 23:38:29,臺北市,南港區,Apin,
No.25,2017-04-05 10:54:53,臺中市,潭子區,立民,全民皆兵可有效赫阻敵人
No.26,2017-04-05 15:58:32,臺東縣,臺東市,apeigo,
No.27,2017-04-06 05:54:09,屏東縣,崁頂鄉,Black,支持全民皆兵，臺灣不該讓敵軍輕輕鬆鬆就侵略攻佔
No.28,2017-04-06 21:35:18,新北市,瑞芳區,廖圳,支持全民國防教育
No.29,2017-04-06 22:40:11,高雄市,大寮區,幼女紳士,"，臺灣人目前非常欠缺關於槍械的知識
看到玩具槍就在那邊高潮哇哇叫。
趁這個機會好好的教育臺灣人正確的槍械知識吧！
不然，你們就只能是無能政府而已了。"
No.30,2017-04-09 11:44:30,嘉義市,東區,Leo Chen,
No.31,2017-04-09 15:40:53,新北市,汐止區,John,支持
No.32,2017-04-11 21:28:15,新北市,板橋區,阿桐CAKE,
No.33,2017-04-13 17:55:19,新北市,新莊區,lamborghini,
No.34,2017-04-15 20:04:01,臺北市,北投區,jjgogo_tw,"俗話說的好:國以民為本,如果有一天,我國遭到外敵入侵,此方案至少人民能有對敵攻擊的能力."
No.35,2017-04-17 17:56:05,臺北市,大安區,Died,
No.36,2017-04-19 18:29:40,新竹市,香山區,Potassium dichromate,與其報廢不如多應用
No.37,2017-04-21 08:44:35,新北市,新莊區,杰哥,我認為國民都有學習槍支武器的必要，由於對岸的壓力與武力，在高中時都會安排打靶，卻只有幾發而已，可直接說是好玩，完全沒有意義，所以我認為國家應該開設公共靶場，以平民的價格讓國民可以學習如呵只用武器與消遣
No.38,2017-04-23 12:51:13,桃園市,桃園區,daniel chiu,
No.39,2017-04-26 00:29:19,臺南市,關廟區,石老大,
No.40,2017-04-29 20:47:40,臺南市,新營區,689.2,全民皆兵假設中國打過來也可以多爭取一點時間
No.41,2017-05-02 14:09:56,桃園市,八德區,Jason,
No.42,2017-05-05 23:41:59,新竹市,東區,mm,
No.43,2017-05-06 17:10:53,臺北市,大同區,Lin,
No.44,2017-05-09 17:24:42,雲林縣,斗南鎮,Paul,完全支持!全民國防!
No.45,2017-05-09 17:31:56,南投縣,埔里鎮,小高,
No.46,2017-05-09 18:00:01,南投縣,埔里鎮,仔仔,
No.47,2017-05-10 08:36:36,新北市,汐止區,大鈞,
No.48,2017-05-15 17:46:43,新北市,板橋區,Vince,
