"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-17 10:11:35,臺中市,大雅區,Sheng,讚讚讚
No.2,2018-05-17 10:20:45,新竹縣,竹東鎮,尼馬,應隨物價調整
No.3,2018-05-17 21:59:13,新北市,新莊區,minyu,
No.4,2018-05-18 10:05:19,新北市,三峽區,寶寶,
No.5,2018-05-18 10:45:14,臺中市,烏日區,格蘭傑,
No.6,2018-05-18 11:19:29,新北市,蘆洲區,閒人,
No.7,2018-05-18 12:58:09,南投縣,草屯鎮,Kitty,薪水跟不上物價上漲幅度
No.8,2018-05-18 13:49:05,新北市,板橋區,小胖,
No.9,2018-05-19 21:12:08,新北市,三峽區,akina,
No.10,2018-05-20 07:55:09,臺中市,大雅區,yoko,
No.11,2018-05-21 08:54:42,高雄市,楠梓區,贊成者,
No.12,2018-05-21 13:30:12,臺中市,太平區,Sabrina,
No.13,2018-05-21 21:20:49,臺中市,西區,魚,
No.14,2018-05-22 08:21:25,嘉義縣,太保市,"Sunny ",薪水隨物價指數漲 才能達到平衡性原則
No.15,2018-05-22 08:23:06,新北市,新店區,筋肉人,本就該如此
No.16,2018-05-22 09:33:07,臺中市,北屯區,強哥,
No.17,2018-05-22 14:29:08,新北市,汐止區,王小花,
No.18,2018-05-22 14:46:28,臺中市,沙鹿區,JR,
No.19,2018-05-22 17:34:28,臺北市,文山區,kallen,
No.20,2018-05-23 14:02:36,彰化縣,田尾鄉,劉ㄚ喵,
No.21,2018-05-23 17:18:09,桃園市,桃園區,paper588,
No.22,2018-05-23 18:58:49,臺南市,安南區,南霸天獅子魂,公務人員被砍年金已經很可憐了還不加薪?賊仔政府?
No.23,2018-05-24 12:36:50,臺東縣,臺東市,凡,
No.24,2018-05-26 22:51:45,桃園市,中壢區,scottlo,這是個好的提議
No.25,2018-05-27 00:26:40,新北市,板橋區,Ranny,我只支持軍公薪水隨物價指數調整，因為教師沒績效考核機制，每個人幾乎年年甲，年年升薪，退休時已是最高文官等級，另外政務官有額外特支費，不像公軍只有基本薪資，基層公軍都受限績效考核機制，無法升等加薪，請不要帶頭壓榨自己員工，政府成為最大血汗工廠！
No.26,2018-05-28 00:06:05,高雄市,三民區,龍,

