"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-18 08:51:50,屏東縣,屏東市,虎哥,教育不該被政治利用，歷史就是要知往開來，還原歷史
No.2,2017-07-20 18:06:36,臺北市,士林區,acbdd,
No.3,2017-07-20 18:12:44,臺北市,內湖區,abss,
No.4,2017-07-20 18:20:14,臺北市,士林區,acbdd,
No.5,2017-07-20 18:29:29,臺北市,士林區,acbdd,
No.6,2017-07-20 18:37:04,臺北市,北投區,acbdd,
No.7,2017-07-20 18:50:51,臺北市,松山區,acbdd,
No.8,2017-07-20 18:57:06,臺北市,士林區,acbdd,
No.9,2017-07-20 19:04:04,臺北市,文山區,acbdd,
No.10,2017-07-20 21:57:25,臺北市,中正區,acbdd,
No.11,2017-07-22 07:46:48,新北市,板橋區,Lynn chen,
