"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-29 22:50:57,桃園市,中壢區,罔市,"好主意,只需再想合作的細節,但台灣政府願意想嗎?我猜他們不願意."
No.2,2017-10-30 12:07:09,臺北市,松山區,郭粤,给予需移民入籍的好公民一个移民机会
No.3,2017-10-30 20:35:05,花蓮縣,新城鄉,阿典,
No.4,2017-10-30 21:16:33,臺南市,永康區,華,
No.5,2017-11-02 11:24:51,臺北市,大同區,先,
No.6,2017-11-03 18:01:20,高雄市,三民區,LEO,
No.7,2017-11-03 22:07:10,桃園市,中壢區,"Kenji ",
No.8,2017-11-04 14:01:34,金門縣,金寧鄉,Swallow,
No.9,2017-12-11 16:30:21,新北市,新店區,may ray,
No.10,2017-12-12 18:49:28,新北市,三重區,fu6,
No.11,2017-12-14 19:31:18,臺北市,中山區,Davidhsu,感覺也是不錯的方法

