"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-05-06 00:08:07,嘉義縣,水上鄉,黃鎮虎,
No.2,2017-05-06 00:08:31,雲林縣,褒忠鄉,請拍打餵食XD,請不要再打壓軍人了好嗎？國防所需的人力・經費・訓練・待遇，到底何時才能務實的規劃和推行？可以不要把沒買到的東西納入規劃嗎？國家的未來需要每個人來守護。
No.3,2017-05-06 00:15:08,臺北市,松山區,米琪麟,
No.4,2017-05-06 00:23:49,桃園市,大溪區,小朱,
No.5,2017-05-06 00:31:03,苗栗縣,三義鄉,阿本,
No.6,2017-05-06 00:50:28,基隆市,中正區,藍文祥,
No.7,2017-05-06 00:53:22,桃園市,八德區,Ching,
No.8,2017-05-06 02:24:44,基隆市,七堵區,澤,
No.9,2017-05-06 03:30:57,高雄市,左營區,孤獨死,
No.10,2017-05-06 07:34:46,彰化縣,福興鄉,阿國,
No.11,2017-05-06 07:36:17,臺南市,新營區,誠信,
No.12,2017-05-06 08:13:46,高雄市,前鎮區,Swallow,
No.13,2017-05-06 10:52:42,新北市,板橋區,Gini,
No.14,2017-05-06 11:32:49,高雄市,鳳山區,Tang,
No.15,2017-05-06 12:42:26,臺北市,大安區,康至青,
No.16,2017-05-06 17:31:57,苗栗縣,竹南鎮,紅楓,支持
No.17,2017-05-06 21:53:49,臺中市,南屯區,Sally,
No.18,2017-05-07 12:50:23,高雄市,那瑪夏區,ㄏㄏㄐ,加油
No.19,2017-05-07 16:28:45,彰化縣,秀水鄉,Jim,不能任政府宰割
No.20,2017-05-11 00:30:32,花蓮縣,新城鄉,..,
No.21,2017-05-14 11:30:47,臺中市,北屯區,龍貓,
No.22,2017-05-19 23:26:28,桃園市,大園區,小黑,
No.23,2017-06-04 16:05:24,新北市,新店區,Chuck Lee,
