"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-01 10:06:58,臺中市,南屯區,反酒駕,"酒駕罰則不斷提高，但酒駕人次卻無明顯減少，酒駕累犯者面對罰鍰多數視而不見收了罰單卻拒繳，對酒駕者懲戒並無實際效果。

社會秩序已相當紊亂，酒駕致死者若不給予應有之懲戒，多數人還是會抱著僥倖心態，喝酒逃避。

社會的溫情是要針對需要幫助的人，但是要在犯酒駕時就予以管束、治療(多數酒駕者都有酒精中毒、酗酒現象)，已經犯行多數已無法回頭、也無路可走，即便給予機會也很難走回正途。

給予極刑並非殘忍而是避免有人再次因為他人酒駕而喪命，亂世用重典，此時雖非戰亂但酒駕者不斷攀升，即便罰鍰增加也不見減緩，且年輕人有越增越多的趨勢，難道要繼續腐敗下去。

建議政府單位拿出魄力，給予犯行者懲罰，保護守法的民眾，還大家一個安穩的社會環境。"
No.2,2017-06-01 12:26:51,高雄市,左營區,姍姍,
No.3,2017-06-01 13:19:32,新北市,中和區,hsuan,
No.4,2017-06-01 13:39:19,南投縣,埔里鎮,奉先,
No.5,2017-06-01 16:20:06,新北市,新莊區,4682,
No.6,2017-06-01 17:02:12,新北市,板橋區,jerryhsu,
No.7,2017-06-01 17:38:19,高雄市,旗山區,yuyue16,
No.8,2017-06-01 20:31:42,桃園市,八德區,MJ,
No.9,2017-06-01 21:28:28,苗栗縣,竹南鎮,CY,酒駕致死唯一死刑，不可廢除死刑
No.10,2017-06-01 21:34:48,臺北市,士林區,過路人,要想的是如何讓酒駕的人有個永生難忘刑罰，死刑絕非唯一解，苟延殘喘讓人難忘。其實我是比較希望的是開放鞭刑，這種永生難忘的刑罰，在酒駕者要酒駕時，會深刻的提醒什麼該做什麼不該做
No.11,2017-06-02 06:21:14,臺南市,安平區,陳豪,
No.12,2017-06-02 15:09:22,新北市,新莊區,Kaikaikuo,"酒駕開車,根本跟帶刀槍上街沒什麼兩樣,還致人於死(或重傷),不可原諒!!!"
No.13,2017-06-03 10:36:06,臺北市,內湖區,Blues,
No.14,2017-06-03 13:01:49,基隆市,仁愛區,MaInJOJO,
No.15,2017-06-04 22:47:57,臺中市,烏日區,琳琳,
