"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-06 05:36:07,臺北市,松山區,Kevin,讓護理回歸專業，讓專業受到保障，醫療業並非服務業!
No.2,2017-12-06 05:36:37,苗栗縣,大湖鄉,華,護病比要降低防過勞
No.3,2017-12-06 05:42:48,高雄市,仁武區,peishan,
No.4,2017-12-06 05:43:15,新北市,新莊區,小雨傘,請給我良好的護病比，提供良好的照護品質
No.5,2017-12-06 05:44:07,苗栗縣,銅鑼鄉,Ian,執政黨罔顧民意，直接影響促使護理人員過勞，因此絕對支持此投票。
No.6,2017-12-06 05:45:31,新北市,三重區,Angel,
No.7,2017-12-06 05:49:36,臺中市,西區,Nana,
No.8,2017-12-06 05:51:07,桃園市,龍潭區,嵐,
No.9,2017-12-06 05:56:44,臺中市,潭子區,Fong,
No.10,2017-12-06 05:58:51,新北市,五股區,鬱靈子,反對勞基法修惡，我不要當一個過勞的護理師
No.11,2017-12-06 06:00:09,臺中市,西屯區,拒絕過勞醫療,
No.12,2017-12-06 06:14:20,新北市,三重區,Y,
No.13,2017-12-06 06:17:11,高雄市,岡山區,Yuru,
No.14,2017-12-06 06:18:33,高雄市,鳳山區,Betty,
No.15,2017-12-06 06:20:16,臺北市,士林區,蘋果,
No.16,2017-12-06 06:20:36,高雄市,仁武區,Zoe1588,支持本提議想法
No.17,2017-12-06 06:24:11,臺中市,西屯區,Joan,
No.18,2017-12-06 06:24:35,新竹市,東區,小鈺,不要過勞護理師 要有醫療品質
No.19,2017-12-06 06:25:17,臺中市,東區,黑嘉,
No.20,2017-12-06 06:25:47,桃園市,中壢區,點點,
No.21,2017-12-06 06:26:12,臺中市,南區,hui,
No.22,2017-12-06 06:26:30,高雄市,鳳山區,汝,無期限支持
No.23,2017-12-06 06:30:18,臺中市,清水區,楊惠鈊,
No.24,2017-12-06 06:34:53,新北市,中和區,Nana,
No.25,2017-12-06 06:35:17,屏東縣,屏東市,Rou,為了病人安全除大量傷患外應依據病房及科別特性限制每位護理師照護病人數上限（有多少護理師收多少床病人
No.26,2017-12-06 06:38:35,屏東縣,南州鄉,奮鬥,
No.27,2017-12-06 06:39:10,臺南市,永康區,企鵝太后,合理護病比
No.28,2017-12-06 06:39:30,高雄市,鳳山區,鄭,
No.29,2017-12-06 06:41:36,高雄市,楠梓區,蘇娟娟,"為了病人安全除大量傷患外應依據病房及科別特性限制每位護理師照護病人數上限（有多少護理師收多少床病人
無限期支持"
No.30,2017-12-06 06:42:46,新北市,中和區,玉,
No.31,2017-12-06 06:43:14,臺中市,北屯區,Siwa,
No.32,2017-12-06 06:45:54,新北市,新店區,Michelle,全部都附議
No.33,2017-12-06 06:46:18,高雄市,楠梓區,魚,支持應限制護理師照顧病人人數，以免造成失誤及過勞
No.34,2017-12-06 06:46:24,臺北市,北投區,Chi,支持降低護病比，減少無辜人民犧牲，提高護理人員照護品質。
No.35,2017-12-06 06:47:45,宜蘭縣,礁溪鄉,婷,為了病人安全應依據病房及科別特性限制每位護理師照護病人數上限（有多少護理師收多少床病人）
No.36,2017-12-06 06:48:16,桃園市,平鎮區,阿姨,健保應增加、提升護理照護費用；並全面納入護理人員薪資裡。
No.37,2017-12-06 06:49:04,彰化縣,田中鎮,Damance,
No.38,2017-12-06 06:51:06,高雄市,鼓山區,小敏,
No.39,2017-12-06 06:52:15,彰化縣,員林鎮,Show Liu,
No.40,2017-12-06 06:52:27,彰化縣,彰化市,RAINBOW,為了病人安全除大量傷患外應依據病房及科別特性限制每位護理師照護病人數上限（有多少護理師收多少床病人）
No.41,2017-12-06 06:52:38,桃園市,桃園區,Green,
No.42,2017-12-06 06:52:40,桃園市,龜山區,柚子,降低護病比，人性化點
No.43,2017-12-06 06:54:05,新北市,新店區,Viser gao,
No.44,2017-12-06 06:56:05,基隆市,安樂區,Hsuan,
No.45,2017-12-06 06:58:10,雲林縣,虎尾鎮,慢吞吞的魚,有良好的護理品質才能救更多的病患
No.46,2017-12-06 06:58:17,高雄市,楠梓區,博翔,
No.47,2017-12-06 06:59:58,新竹縣,竹東鎮,李大寶,量力而為不是很簡單的道理嗎？而這種打腫別人臉來充自己是胖子的事大家卻很愛做？難道是事不關己嗎？
No.48,2017-12-06 07:00:03,彰化縣,二水鄉,藍湘,
No.49,2017-12-06 07:03:16,新北市,三重區,Amy,贊成降低護病比，維護病人安全，停止血汗醫院壓榨
No.50,2017-12-06 07:04:24,桃園市,蘆竹區,茹,
No.51,2017-12-06 07:05:37,臺南市,東區,Yun,
No.52,2017-12-06 07:06:34,臺北市,文山區,涵,
No.53,2017-12-06 07:06:35,高雄市,三民區,mm,
No.54,2017-12-06 07:06:40,臺中市,西屯區,Rin,
No.55,2017-12-06 07:07:19,嘉義市,西區,小綠,減少護病比
No.56,2017-12-06 07:07:32,臺中市,南屯區,小羚,
No.57,2017-12-06 07:08:30,南投縣,竹山鎮,瑋宝,
No.58,2017-12-06 07:09:46,新竹縣,湖口鄉,怡,
No.59,2017-12-06 07:09:57,臺南市,南區,yiwen,我支持!!
No.60,2017-12-06 07:10:01,新北市,中和區,Sylvia,
No.61,2017-12-06 07:12:21,臺中市,后里區,Kirei,
No.62,2017-12-06 07:14:56,臺中市,潭子區,沂,
No.63,2017-12-06 07:15:05,臺中市,烏日區,Avy,
No.64,2017-12-06 07:15:31,高雄市,左營區,鄒雋,
No.65,2017-12-06 07:15:46,彰化縣,彰化市,白,
No.66,2017-12-06 07:19:56,雲林縣,四湖鄉,陸比達,
No.67,2017-12-06 07:20:06,桃園市,觀音區,未來的護理師,降低護病比，對於護理師跟病患都是一種保障
No.68,2017-12-06 07:20:13,臺中市,北區,啊彥彥,
No.69,2017-12-06 07:22:30,屏東縣,恆春鎮,acyyi,
No.70,2017-12-06 07:22:51,桃園市,龜山區,Sherry,
No.71,2017-12-06 07:22:53,臺中市,大雅區,阿美,附議
No.72,2017-12-06 07:23:12,澎湖縣,馬公市,Dudu,
No.73,2017-12-06 07:23:13,宜蘭縣,頭城鎮,Purple,
