"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-05-23 18:48:06,臺中市,南屯區,賴 沛,
No.2,2017-05-23 19:59:36,屏東縣,屏東市,Chou,
No.3,2017-05-23 21:59:39,臺北市,內湖區,SYT,
No.4,2017-05-24 00:03:51,高雄市,永安區,wei hong hong,
No.5,2017-05-24 02:54:49,桃園市,中壢區,卜隆貢,
No.6,2017-05-24 08:30:43,臺北市,大同區,tim,
No.7,2017-05-24 09:17:33,基隆市,暖暖區,佑yo,有奶子看我還不支持？
No.8,2017-05-24 09:36:07,臺南市,歸仁區,FC Dai,
No.9,2017-05-24 13:01:32,高雄市,三民區,loveo,只要不是裸露，就不該限制女性胸部穿著，哺乳之類
No.10,2017-05-24 15:26:10,高雄市,大寮區,PAP,
No.11,2017-05-24 17:04:14,新北市,五股區,Wei1030,男生可以，女生也可以。
No.12,2017-05-24 18:11:05,臺南市,新營區,陳陳,女性胸部本也是用來哺乳的而以
No.13,2017-05-24 20:32:42,高雄市,鳳山區,Mel,
No.14,2017-05-24 21:06:44,臺南市,關廟區,牛橘,
