"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-15 06:47:20,基隆市,七堵區,開車爸,明文禁止很好，但常看警察太親善，常以勸導取代開罰，以致目前違法的併排停車、路口違停、佔用無障礙路徑等行為，被勸說後開走，警察離開又馬上繞回。嚴重影響交通權益與安全。
No.2,2017-07-15 20:08:53,彰化縣,彰化市,核統,車位難找所以還是要增設車位，都會區考慮蓋停車塔。
No.3,2017-07-16 13:45:18,新北市,樹林區,vacsunshine,
No.4,2017-07-16 15:54:32,臺南市,新市區,jenny wu,人肉佔車位不文明不合理
No.5,2017-07-18 09:46:59,新北市,新店區,kirk,
No.6,2017-07-18 12:33:04,新北市,蘆洲區,嵐,這是好提議
No.7,2017-07-20 03:44:05,新北市,淡水區,古先生,請嚴格管制 人肉與物件占據車位..
No.8,2017-07-20 11:49:29,高雄市,前鎮區,翔太,
No.9,2017-07-20 13:17:55,苗栗縣,頭份鎮,Coldness,非常同一此提案
No.10,2017-07-21 06:03:46,屏東縣,東港鎮,30084,
No.11,2017-07-21 07:34:41,新北市,汐止區,林貝貝,
No.12,2017-07-21 08:03:49,新北市,板橋區,Ivy,
No.13,2017-07-21 10:41:37,新竹縣,竹北市,花花,
No.14,2017-07-21 14:19:23,彰化縣,埔心鄉,月,
No.15,2017-07-22 09:18:12,新北市,瑞芳區,Karen,
No.16,2017-07-22 11:57:30,屏東縣,屏東市,牛牛,
