"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-03 05:12:55,臺南市,永康區,Jake,
No.2,2018-05-03 14:30:27,彰化縣,彰化市,核統,
No.3,2018-05-04 21:31:34,臺南市,東區,老王,
No.4,2018-05-04 22:27:05,臺南市,永康區,Vivi,
No.5,2018-05-04 22:42:54,桃園市,中壢區,桑椹果,"連買東西都可行動支付
上班打卡資料上雲端 也合理"
No.6,2018-05-05 03:11:19,雲林縣,西螺鎮,小婷,
No.7,2018-05-05 10:09:50,臺南市,東區,阿州,但是如何保護資料的安全性呢？？又或者如何確定業主不會造假呢？
No.8,2018-05-05 11:03:53,臺中市,南屯區,Benson,
No.9,2018-05-07 08:45:58,新北市,板橋區,Devin,幾乎基層同仁只能配合上級主管配合修改資料，所以應同步將管理階層加重處罰或是留下紀錄。
No.10,2018-05-07 10:26:24,新北市,淡水區,james,

