"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-12 10:37:00,新北市,中和區,SIGMA,"全台電桿電纜地下化
民眾居住安全有保障
市容整潔美觀又舒適
大眾開心自豪台灣人"
No.2,2017-11-12 10:48:53,新北市,中和區,fto,
No.3,2017-11-12 10:51:17,新北市,中和區,haruko,
No.4,2017-11-12 11:25:34,臺北市,北投區,LIN ROBERT,
No.5,2017-11-12 13:13:27,新北市,汐止區,Goldie,
No.6,2017-11-12 13:41:38,彰化縣,埔心鄉,張定勝,
No.7,2017-11-12 17:09:37,高雄市,鳳山區,阿璋,
No.8,2017-11-12 22:44:19,花蓮縣,新城鄉,阿典,
No.9,2017-11-13 13:53:06,臺中市,大甲區,落雨聲,
No.10,2017-11-13 14:22:54,新北市,新店區,微風,
No.11,2017-11-13 20:18:40,新北市,泰山區,Terence Chen,
No.12,2017-11-14 21:08:25,桃園市,桃園區,梅子,台灣已經是個進步的國家，馬路上還有一根一根的電線桿，不好看。
No.13,2017-11-14 21:48:34,新北市,新莊區,都市先開始,
No.14,2017-11-15 10:06:22,臺中市,西區,ju,
No.15,2017-11-15 16:10:25,彰化縣,花壇鄉,Achan,電線桿地下化，有美觀 與退讓道路空間的優點
