"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-01 17:27:39,新北市,土城區,小林,
No.2,2018-04-01 20:10:10,苗栗縣,苗栗市,Lulu,
No.3,2018-04-01 21:31:45,屏東縣,恆春鎮,JJ,贊同對性侵與虐童者刑罰增加十倍
No.4,2018-04-01 21:50:48,新北市,新店區,Ernie,
No.5,2018-04-01 22:47:29,新北市,新莊區,小倩,
No.6,2018-04-01 22:57:26,新北市,新莊區,小葳,
No.7,2018-04-02 00:07:56,臺北市,文山區,Lucia Tian,
No.8,2018-04-02 00:45:30,桃園市,平鎮區,忠,身為一個年幼孩童的父親，對於進年來許多罪證犯行明確的案件卻被重輕量刑難以接收；我們不單要求刑度加重且刑度的最低量刑也必需修法加強制裁的力道。並且要求若犯罪人脫離電子監控的情形發生時直接以極刑處份，另外我支持警察強勢執法。
No.9,2018-04-02 01:07:51,桃園市,平鎮區,惠,
No.10,2018-04-02 02:05:59,臺北市,大同區,大獅子,加重處罰才能達到嚇阻效果
No.11,2018-04-02 07:02:02,新北市,三重區,未來,
No.12,2018-04-02 08:29:47,高雄市,仁武區,光磊,
No.13,2018-04-02 09:16:29,彰化縣,埤頭鄉,jack,要好好保護我們的下一代
No.14,2018-04-02 09:25:26,新北市,新店區,Evy,
No.15,2018-04-02 09:41:14,新北市,永和區,Amy,支持加重刑罰
No.16,2018-04-02 09:41:59,臺北市,中山區,mouseatoll,
No.17,2018-04-02 10:23:17,高雄市,三民區,瑜,
No.18,2018-04-02 10:33:52,新北市,新莊區,JENNY,支持化學去勢!!
No.19,2018-04-02 12:29:56,臺南市,北區,kaohugo,
No.20,2018-04-02 13:18:51,新北市,中和區,小龍,
No.21,2018-04-02 13:25:26,花蓮縣,吉安鄉,小豐,加10倍還不夠
No.22,2018-04-02 13:36:40,臺中市,南區,Janice,支持！
No.23,2018-04-02 13:43:08,臺南市,安平區,周潔咪,更希望虐侵者用什麼器官虐侵兒童，就把他的那些器官廢掉！！
No.24,2018-04-02 13:53:52,臺中市,北區,Ray,
No.25,2018-04-02 14:45:51,臺中市,北屯區,mingdo,
No.26,2018-04-02 14:59:32,臺北市,大安區,QOO,
No.27,2018-04-02 16:05:17,臺北市,信義區,Frank,
No.28,2018-04-02 17:21:33,臺南市,東區,173165,
No.29,2018-04-02 18:38:31,高雄市,三民區,red,
No.30,2018-04-02 20:32:23,新竹市,北區,米格,
No.31,2018-04-02 20:35:36,彰化縣,溪州鄉,琦琦,
No.32,2018-04-02 20:48:24,彰化縣,埔鹽鄉,Wang0119,
No.33,2018-04-02 21:21:29,臺南市,六甲區,胖君,
No.34,2018-04-03 08:40:53,臺中市,南區,JF,
No.35,2018-04-03 10:07:45,新北市,泰山區,annachang24,
No.36,2018-04-03 11:03:46,新竹市,北區,Kent  TSENG,
No.37,2018-04-03 12:10:32,高雄市,三民區,DIO,
No.38,2018-04-03 13:12:21,彰化縣,溪州鄉,豐,
No.39,2018-04-03 13:45:17,高雄市,左營區,GP,
No.40,2018-04-03 14:41:17,臺中市,東區,Eve,
No.41,2018-04-03 15:29:27,彰化縣,埔心鄉,明宇,
No.42,2018-04-03 18:42:49,新北市,新店區,banban,
No.43,2018-04-03 18:53:10,嘉義縣,竹崎鄉,人,這樣就會減少性侵和虐童的事件了。
No.44,2018-04-03 21:39:28,臺中市,烏日區,花,
No.45,2018-04-04 03:21:41,臺中市,南屯區,十一,支持
No.46,2018-04-04 03:52:55,新北市,汐止區,Charlotte,
No.47,2018-04-04 05:07:46,雲林縣,東勢鄉,小隻,
No.48,2018-04-04 07:22:40,臺南市,南區,炙炎,真的很可惡!
No.49,2018-04-04 15:00:20,屏東縣,鹽埔鄉,71PEN,
No.50,2018-04-04 16:44:33,臺北市,大安區,大友,
No.51,2018-04-05 03:34:20,苗栗縣,銅鑼鄉,LORE,
No.52,2018-04-06 14:39:37,桃園市,大園區,香腸,
No.53,2018-04-06 15:43:17,臺南市,南區,Michael5317,
No.54,2018-04-06 21:37:29,臺北市,文山區,小樹,
No.55,2018-04-06 23:08:12,新北市,淡水區,貓麻,
No.56,2018-04-07 00:49:41,高雄市,三民區,寒流,
No.57,2018-04-07 18:08:11,南投縣,國姓鄉,jwo,..
No.58,2018-04-08 17:24:44,新竹縣,寶山鄉,某人,
No.59,2018-04-09 10:50:17,臺北市,士林區,Cedric,
No.60,2018-04-09 13:57:51,彰化縣,秀水鄉,iyooyi,支持
No.61,2018-04-10 10:08:59,高雄市,林園區,蔡菜,
No.62,2018-04-10 17:11:48,桃園市,桃園區,Tori,
No.63,2018-04-11 01:42:01,臺北市,萬華區,shin205,
No.64,2018-04-11 18:32:20,臺南市,東區,Amy,亂世用重典，刑罰要夠重才能有警剔作用，鞭刑也可以是加重使用的方法，侵害他人者表示已不尊重他人，給予重罰才能得以譲受害者的傷害獲得遲來的正義，因為傷害也許已經是一輩子走不出的痛
No.65,2018-04-14 16:38:17,臺中市,南屯區,嗯嗯,
No.66,2018-04-17 15:54:39,新北市,永和區,shotgunlulu,
No.67,2018-04-18 06:18:31,嘉義縣,中埔鄉,heaven,"判太輕了,應該讓他們在監獄裡做些對社會有貢獻的勞役"
No.68,2018-04-20 12:29:36,臺中市,太平區,AROD,
No.69,2018-04-20 15:29:25,新北市,三重區,家長,
No.70,2018-04-21 23:14:01,臺北市,中正區,Chu,
No.71,2018-04-22 05:31:38,臺中市,西屯區,YY,
No.72,2018-04-22 12:48:39,屏東縣,屏東市,Kkk,
No.73,2018-04-23 12:59:57,新竹縣,竹東鎮,CCC,台灣變成犯罪者的天堂(許多為累犯者)不外乎是罰則過輕、不痛不癢所致
No.74,2018-04-24 16:03:13,彰化縣,伸港鄉,養樂多好苦,
No.75,2018-04-25 11:48:17,臺北市,內湖區,Mo,
No.76,2018-04-29 01:42:25,新北市,新店區,勻,
No.77,2018-05-05 22:38:42,臺中市,神岡區,Ufaw0285,
No.78,2018-05-07 13:22:24,高雄市,三民區,Zxcasd,
No.79,2018-05-11 01:55:21,高雄市,小港區,Cai,
No.80,2018-05-17 20:59:27,高雄市,大寮區,高雄阿惟,
No.81,2018-05-19 21:11:51,新北市,三峽區,akina,
No.82,2018-05-20 01:30:47,新北市,永和區,Kite,
No.83,2018-05-23 15:18:43,臺中市,東勢區,katherine,5/22又一起親友虐童案，疑似性侵行為，新聞節目中社會局卻反應其不為高風險家庭，三次的家暴，導致五歲孩童目前瀕臨命危。如不加強刑罰責任，如何遏止此等行為?
No.84,2018-05-23 21:46:45,彰化縣,員林鎮,JCHuang,
No.85,2018-05-23 21:50:49,彰化縣,和美鎮,Cayceng,
No.86,2018-05-24 09:28:25,屏東縣,佳冬鄉,人民,如果連國家最基本需要保護的小孩都不能設法保護，那國家怎麼會有未來。
No.87,2018-05-25 01:26:59,臺北市,萬華區,"Jason Chiang ",近年來不斷發生虐童及性侵兒童案件，讓社會大眾感到痛心，孩童為未來國家成長之力量，不要讓孩子為國家未來的主人翁成為空喊的口號，請相關單位修法，以最嚴厲之刑罰，懲治犯罪者，盡可能將此類案件發生率降到最低
No.88,2018-05-25 01:36:13,新竹縣,湖口鄉,林嘉蓉,請政府好好重視吧⋯性侵虐童 已經連署多次了 請政府正視吧
No.89,2018-05-25 09:06:41,臺南市,永康區,芭,
No.90,2018-05-25 09:25:44,臺南市,東區,吳先,
No.91,2018-05-25 09:31:51,宜蘭縣,三星鄉,太陽,"應該修法保護我們國家的孩子!

對性侵與虐童者刑罰增加十倍"
No.92,2018-05-25 11:35:41,新北市,三重區,Brook,請保障我們的孩子能平安健康成長，請給我們父母有一個安心的育兒環境
No.93,2018-05-25 21:13:38,新竹縣,竹北市,馮娟兒,
No.94,2018-05-25 21:47:07,新竹縣,湖口鄉,阿碰,虐童唯一支持死刑
