"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-01 00:41:50,新北市,三重區,丸子,
No.2,2017-11-01 09:30:37,新竹市,香山區,兒兒兒,
No.3,2017-11-01 10:45:00,新竹縣,竹北市,天堂鳥,
No.4,2017-11-01 10:49:51,新北市,板橋區,Amanda,
No.5,2017-11-01 11:18:30,新北市,新莊區,Stone,確實可以有效利用多餘課教室的空間解決公共托嬰與老人日照中心不足的問題
No.6,2017-11-01 11:50:44,新北市,三峽區,Eton,"在少子化的衝擊下,針對學校的閒置空間進行有效的運用,是可以研究討論其可行性"
No.7,2017-11-01 12:04:53,新北市,新莊區,mushroom,
No.8,2017-11-01 13:03:29,高雄市,鼓山區,靜,
No.9,2017-11-01 13:57:27,臺南市,永康區,吳信邦,
No.10,2017-11-01 15:04:36,苗栗縣,頭份市,微醺,支持空間利用
No.11,2017-11-01 15:41:29,新北市,汐止區,葉小新,政府真的要多用心點解決托育的問題
No.12,2017-11-01 19:14:15,新北市,新莊區,Vicky,
No.13,2017-11-01 20:30:32,新北市,板橋區,阿翔,
No.14,2017-11-01 21:36:08,高雄市,鼓山區,史恩修,
No.15,2017-11-01 23:59:25,臺中市,西屯區,NnQnN,
No.16,2017-11-02 00:46:09,高雄市,岡山區,微醺,
No.17,2017-11-02 09:18:01,臺中市,大甲區,落雨聲,
No.18,2017-11-02 09:26:10,臺中市,大里區,喬治,
No.19,2017-11-02 10:59:44,新北市,汐止區,CHOU,
No.20,2017-11-02 11:44:29,新北市,五股區,Jean,降低失業率、有效利用空間。
No.21,2017-11-02 13:25:50,新北市,新莊區,咪咪,贊成，想法一致，也能開拓就業市場
No.22,2017-11-02 15:42:48,臺南市,北區,w;6,
No.23,2017-11-02 18:34:58,高雄市,大寮區,鐵塔,不錯的點子，有效利用學校空間。
No.24,2017-11-03 01:37:22,臺北市,文山區,Landy,
No.25,2017-11-03 03:20:07,新竹市,東區,相摩,同意增加公托
No.26,2017-11-03 07:24:51,臺北市,北投區,雨妃妃,
No.27,2017-11-03 08:27:09,新北市,新店區,學生,
No.28,2017-11-03 08:30:03,桃園市,龜山區,熊寶,社會高齡化丶少子化，目前真的很需要這樣的政策。廣設長照中心、公共托嬰中心，良好的社會環境，來減輕民眾壓力和負擔。
No.29,2017-11-03 08:36:12,新北市,板橋區,小公主,
No.30,2017-11-03 09:30:21,新北市,蘆洲區,小咩,
No.31,2017-11-03 09:34:42,臺北市,士林區,Ruby Huang,
No.32,2017-11-03 10:00:30,高雄市,鳳山區,"GUO  ",
No.33,2017-11-03 10:16:00,臺北市,大安區,Jeff,
No.34,2017-11-03 10:17:51,臺北市,大安區,Catcat,
No.35,2017-11-03 11:49:12,新北市,中和區,RH,
No.36,2017-11-03 12:27:54,新北市,三峽區,Jim,
No.37,2017-11-03 12:40:38,臺中市,北區,芸芸兒,
No.38,2017-11-03 13:01:35,臺北市,北投區,普隆空,建議檢討社會福利機制，將託育的費用由國家支出
No.39,2017-11-03 13:38:41,新北市,汐止區,曾菱菱,
No.40,2017-11-03 13:49:28,彰化縣,芬園鄉,葳葳,
No.41,2017-11-03 14:14:41,彰化縣,伸港鄉,沛沛,
No.42,2017-11-03 14:37:00,高雄市,鳳山區,BOBO,
No.43,2017-11-03 14:41:00,高雄市,左營區,Starsea,
No.44,2017-11-03 14:57:43,臺北市,北投區,Angel,
No.45,2017-11-03 15:06:26,嘉義縣,水上鄉,陳小豪,
No.46,2017-11-03 15:12:33,新北市,新莊區,soyu,
No.47,2017-11-03 15:32:59,新北市,淡水區,佩佩,公共托嬰中心不足造成很多新婚夫妻不敢結婚 未來老人人口逐漸提升 需要老人日照中心來減輕家人的負擔
No.48,2017-11-03 15:47:22,新北市,三重區,超人,
No.49,2017-11-03 16:21:04,高雄市,楠梓區,小儀,
No.50,2017-11-03 16:22:38,桃園市,桃園區,BHL,
No.51,2017-11-03 16:44:13,新北市,新莊區,Queena,
No.52,2017-11-03 17:28:38,屏東縣,萬丹鄉,小夢,
No.53,2017-11-03 17:38:47,新北市,三峽區,Yuna,
No.54,2017-11-03 18:01:56,苗栗縣,造橋鄉,光光,
No.55,2017-11-03 18:12:57,桃園市,桃園區,魚蛋,
No.56,2017-11-03 18:42:12,桃園市,觀音區,Nina,
No.57,2017-11-03 18:49:03,臺中市,大里區,徐偉晟,
No.58,2017-11-03 19:05:01,臺中市,大肚區,綺,
No.59,2017-11-03 19:22:21,臺中市,潭子區,朵朵,
No.60,2017-11-03 19:37:51,彰化縣,埔心鄉,ETLee,也支持將空教室租借優良的團體作為社團活動室使用。
No.61,2017-11-03 19:38:38,新北市,淡水區,樂園,
No.62,2017-11-03 19:44:08,新北市,永和區,小蘋果,
No.63,2017-11-03 19:45:55,宜蘭縣,羅東鎮,Ulysses,
No.64,2017-11-03 19:47:08,新北市,三重區,Anchieh,政策因應社會趨勢作調整，臺灣社會出現老年化少子化趨勢，多所學校招生困難，應作轉變再利用，資源不能浪費，將校園改建再利用。
No.65,2017-11-03 20:13:29,桃園市,中壢區,巧,
No.66,2017-11-03 20:36:00,臺北市,中山區,心地,長輩們的人生經驗與智慧可以傳承給孩子們;孩子們的天真可愛可為長輩們帶來歡笑與希望。相互扶持與合作。
No.67,2017-11-03 21:02:23,桃園市,中壢區,"Kenji ",
No.68,2017-11-03 21:40:48,新北市,新店區,小P仔,
No.69,2017-11-03 21:52:28,臺中市,南屯區,CH,
No.70,2017-11-03 22:01:07,新北市,新莊區,Lisa,
No.71,2017-11-03 22:11:01,高雄市,楠梓區,蔡小魚,
No.72,2017-11-03 22:25:55,苗栗縣,竹南鎮,咪,
No.73,2017-11-03 22:55:33,臺北市,北投區,LIN ROBERT,
No.74,2017-11-03 23:09:49,高雄市,鼓山區,Han,
No.75,2017-11-03 23:21:43,新北市,新店區,Alice,
No.76,2017-11-03 23:54:15,屏東縣,來義鄉,Cjuwu,
No.77,2017-11-04 00:11:18,臺南市,歸仁區,小忘,
No.78,2017-11-04 01:36:41,臺中市,西屯區,原,這是個很不錯且可行的方法
No.79,2017-11-04 01:37:34,臺北市,士林區,SunnyYen,
No.80,2017-11-04 09:03:17,嘉義縣,民雄鄉,亮亮,很不錯的想法，把多餘的空間加以利用。
No.81,2017-11-04 09:19:48,新北市,汐止區,Zoe,
No.82,2017-11-04 09:51:59,桃園市,八德區,Jack Wang,扶老攜幼，又能將人力有效轉型，很棒的提議，希望更多人支持
No.83,2017-11-04 10:06:18,桃園市,中壢區,Smile,學校受到少子化影響，將既有的體系轉換使用，應符合現行老年及托幼的趨勢
No.84,2017-11-04 10:09:19,臺中市,東區,州哥,
No.85,2017-11-04 10:23:39,高雄市,苓雅區,圓圓,
No.86,2017-11-04 10:56:35,高雄市,鼓山區,Phil,善用空間 幫助長者
No.87,2017-11-04 11:23:27,新北市,林口區,james27,
No.88,2017-11-04 11:41:41,新北市,三重區,🐑,
No.89,2017-11-04 13:05:48,臺北市,信義區,Bonny,
No.90,2017-11-04 15:40:17,新北市,淡水區,琦紘,有效利用空間   現在也少子化     多的老師也可輔導常照員  或是公托托嬰幼兒園老師
No.91,2017-11-04 16:00:44,新竹市,東區,阿凱,除了硬體設備的改建之外也可以培養退休老人搭配合年輕的幼兒照服人員作為幼兒教育的一環讓老有所用幼有所長。
No.92,2017-11-04 16:03:41,新北市,汐止區,傻小德,走正確方向的路，做符合民生需求的事，不要再浪費我們納稅人的錢了！
No.93,2017-11-04 18:46:45,臺南市,北區,劉家榛,
No.94,2017-11-04 19:42:09,臺中市,南屯區,Patty,
No.95,2017-11-04 19:51:00,臺北市,中山區,阿強,
No.96,2017-11-04 20:01:36,新北市,板橋區,譽慶麻麻,公共幼兒園名額有限，希望這個政策通過後可以大幅增加名額。讓爸爸媽媽可以安心上班賺錢，才有機會可以多生幾位寶寶。
No.97,2017-11-04 21:02:53,高雄市,苓雅區,棒棒,
No.98,2017-11-04 21:05:21,高雄市,大社區,Ivy,
No.99,2017-11-04 21:54:07,新北市,中和區,源源,
No.100,2017-11-04 21:54:53,臺中市,大雅區,anson,
No.101,2017-11-05 00:08:47,桃園市,新屋區,M,
No.102,2017-11-05 02:11:36,高雄市,前金區,Hayato,贊成 面臨少子化和高齡化衝擊，提早進行應對措施
No.103,2017-11-05 11:07:56,臺中市,東勢區,雪炫,這是很棒的想法，因應少子化，許多學校開班人數少，將多餘教室再利用，促進與外界交流
No.104,2017-11-05 11:21:35,臺南市,北區,阿宏,
No.105,2017-11-05 11:56:37,新北市,中和區,葉小姐,
No.106,2017-11-05 12:11:56,高雄市,鼓山區,小魚,
No.107,2017-11-05 12:33:27,雲林縣,斗六市,任家紹,是贊成將學校多餘空間活化的構想，但會不會影響學生在校園的環境或安全，可能還需要近一步評估。
No.108,2017-11-05 13:04:46,高雄市,鼓山區,Cathy,
No.109,2017-11-05 13:31:36,宜蘭縣,冬山鄉,Lion kuo,
No.110,2017-11-05 13:34:08,高雄市,鳳山區,小寶,非常好的提案！不是不關心是不了解，如果讓弱勢進入校園，大家都可以幫忙看，學校又是相對安全單純的地方，也比較有人力，如果學生要當志工不用捨近求遠，可在校申請多好！！且學生也可提早接觸學習相處。
No.111,2017-11-05 17:29:44,臺中市,大里區,陳欣,贊成 面臨少子化和高齡化衝擊，提早進行應對措施
No.112,2017-11-05 18:23:05,臺北市,內湖區,YL,
No.113,2017-11-05 19:08:48,高雄市,前鎮區,Hung Hui,
No.114,2017-11-05 22:16:16,桃園市,蘆竹區,Rick,
No.115,2017-11-05 23:48:55,新北市,新莊區,"Karl ",
No.116,2017-11-05 23:56:21,高雄市,三民區,10000,
No.117,2017-11-06 00:08:26,新竹市,北區,pip,
No.118,2017-11-06 00:29:36,新北市,板橋區,insweety,
No.119,2017-11-06 11:47:35,高雄市,前金區,pencilchiu,蠻好的想法，希望能集思廣益，解決流浪教師、雙薪家庭幼兒、老人日照問題
No.120,2017-11-06 12:48:47,高雄市,鼓山區,Shu Ling,
No.121,2017-11-06 12:56:34,高雄市,苓雅區,YuXing Pan,
No.122,2017-11-06 14:41:33,臺中市,南屯區,千家媳婦,
No.123,2017-11-06 15:44:30,臺北市,內湖區,Mollie,
No.124,2017-11-06 21:24:23,嘉義縣,梅山鄉,夢,
No.125,2017-11-06 21:24:32,臺南市,永康區,小洪,
No.126,2017-11-06 21:56:56,臺南市,東區,David,
No.127,2017-11-07 01:59:13,高雄市,鳥松區,Carroll_TU,
No.128,2017-11-07 10:06:11,臺北市,北投區,Nanami,能有效利用多餘課教室的空間解決公共托嬰與老人日照中心不足的問題
No.129,2017-11-07 10:07:14,基隆市,暖暖區,Daphne,
No.130,2017-11-07 10:15:06,新北市,永和區,育小如,
No.131,2017-11-07 10:15:34,臺北市,大同區,tim,
No.132,2017-11-07 10:20:45,桃園市,八德區,Jason,
No.133,2017-11-07 10:23:43,臺北市,中山區,媛媛,
No.134,2017-11-07 10:26:36,新北市,新店區,CY,
No.135,2017-11-07 11:40:21,臺北市,南港區,碩諺,
No.136,2017-11-07 11:47:09,新北市,三重區,Mida,能有效利用多餘課教室的空間解決公共托嬰與老人日照中心不足的問題
No.137,2017-11-07 12:40:14,嘉義市,東區,KikiWu,
No.138,2017-11-07 13:37:13,臺北市,南港區,黃小婷,
No.139,2017-11-07 16:52:07,屏東縣,屏東市,Evelyn,
No.140,2017-11-07 21:48:07,臺北市,大安區,Steve,
No.141,2017-11-08 13:22:12,桃園市,中壢區,飛唬,超級好點子
No.142,2017-11-08 15:20:20,新竹市,東區,Chi Chilly,
No.143,2017-11-08 23:37:52,新北市,三重區,迷你馬兒,這是人人都會面臨的問題，大家要關心!!
No.144,2017-11-09 01:42:45,臺中市,清水區,王駿,
No.145,2017-11-09 09:42:39,高雄市,左營區,Roger,
No.146,2017-11-09 15:04:13,高雄市,大寮區,Tim,支持
No.147,2017-11-10 02:55:30,桃園市,龜山區,蟲蟲,
No.148,2017-11-10 09:21:16,高雄市,左營區,charlene,贊成
No.149,2017-11-10 12:26:20,新北市,新莊區,還可讓小孩跟阿公阿嬤互動,
No.150,2017-11-13 10:02:51,南投縣,名間鄉,viola,
No.151,2017-11-13 20:55:28,臺北市,中正區,樂vi媽,
No.152,2017-11-14 12:39:41,新竹市,北區,錒令,
No.153,2017-11-14 17:22:57,臺南市,永康區,winnie,
No.154,2017-11-16 13:44:18,臺北市,信義區,Keser,
No.155,2017-11-16 15:04:57,新北市,樹林區,light,
No.156,2017-11-16 15:38:09,臺中市,太平區,花,
No.157,2017-11-17 17:12:45,高雄市,前鎮區,hotaru,
No.158,2017-11-17 21:55:21,桃園市,中壢區,bluesky,
No.159,2017-11-18 00:01:13,新北市,三重區,陳小白,贊成！長輩日照中心可以和小朋友共用操場及教室還有圖書館，可以一起做運動看書及玩樂，長輩看到純真的小孩也會心情開朗，也可以有小孩和長輩互動的課程，讓青壯年可以安心上班，不用擔心家中孩童及長輩
No.160,2017-11-18 22:00:09,新北市,新店區,AA,
No.161,2017-11-19 23:41:20,臺南市,佳里區,莉薇雅,
No.162,2017-11-20 02:49:32,臺南市,東區,忘憂草,少子化且未來老年人居多，確實該物盡其用
No.163,2017-11-21 23:47:51,臺北市,大安區,這是一定要的~,
