"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-28 07:52:43,新北市,永和區,ＨＴ,
No.2,2018-03-28 09:42:21,臺北市,內湖區,阿旺,
No.3,2018-03-28 12:17:03,新北市,新莊區,kk,
No.4,2018-03-28 13:58:37,新北市,蘆洲區,小鈞,
No.5,2018-03-28 15:01:16,新北市,永和區,真,
No.6,2018-03-28 18:15:15,新北市,樹林區,jason,
No.7,2018-03-28 21:17:01,臺北市,士林區,Iark,
No.8,2018-03-28 21:26:44,新北市,土城區,媛媛,
No.9,2018-03-28 21:47:06,高雄市,鼓山區,wanjhih,
No.10,2018-03-28 21:54:17,臺北市,松山區,ying chang,
No.11,2018-03-28 22:13:17,新北市,新店區,Queena,附議
No.12,2018-03-28 22:25:44,新北市,板橋區,RACHEL,"我29歲，2位親人有大腸癌
支持此提議"
No.13,2018-03-28 22:58:53,新北市,中和區,濃濃,
No.14,2018-03-29 09:59:01,新北市,土城區,Paul,
No.15,2018-03-29 16:46:44,臺中市,大里區,海濤大神,"大腸癌是台灣最常見的癌症了…
發現年齡層也有變低的趨向
所以我贊成"
No.16,2018-03-30 09:42:32,基隆市,七堵區,如果,
No.17,2018-03-30 13:03:19,臺中市,清水區,JS,
No.18,2018-03-30 14:23:46,新北市,三重區,玉萍,
No.19,2018-03-30 16:53:53,新北市,板橋區,Miko Hua,
No.20,2018-03-30 20:43:59,彰化縣,員林鎮,PINYA,
No.21,2018-03-30 21:32:14,新北市,板橋區,"for example ",
No.22,2018-03-30 23:25:56,臺北市,中山區,Jean,
No.23,2018-03-31 16:29:59,屏東縣,恆春鎮,Jason,
No.24,2018-03-31 23:27:03,臺中市,梧棲區,我要附議,
No.25,2018-04-01 21:16:10,臺中市,沙鹿區,胡小源,
No.26,2018-04-01 23:24:11,臺北市,大安區,Joseph,
No.27,2018-04-02 01:12:46,臺北市,南港區,阿雷,
No.28,2018-04-02 09:51:40,臺北市,信義區,TJT,所提的建議很合理。
No.29,2018-04-02 09:58:25,臺北市,南港區,Yu,
No.30,2018-04-02 10:00:20,高雄市,前金區,Emily,大腸直腸癌罹患年齡有下降趨勢，有必要向下修正癌篩的年齡
No.31,2018-04-02 11:21:18,高雄市,旗山區,JerryChen,大腸癌好發年齡越來越年輕，及早發現及早治療。
No.32,2018-04-02 12:18:50,臺北市,松山區,T.C.,
No.33,2018-04-02 12:20:42,臺北市,文山區,Leon,
No.34,2018-04-02 12:39:37,高雄市,三民區,冰博士,
No.35,2018-04-02 13:49:04,新北市,板橋區,Frank chiu,
No.36,2018-04-02 19:27:48,屏東縣,崁頂鄉,33,擴大降低大腸癌免費篩檢年齡
No.37,2018-04-02 19:40:01,桃園市,桃園區,Sunbomb,我支持此項提議

