"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-17 00:47:28,桃園市,中壢區,媛兒,
No.2,2018-03-17 08:54:41,臺中市,霧峰區,夜凱,
No.3,2018-03-17 16:12:36,臺中市,豐原區,賈賀,
No.4,2018-03-17 16:27:38,臺北市,內湖區,Shan,
No.5,2018-03-17 18:36:17,新北市,新莊區,Effie,
No.6,2018-03-17 20:09:40,臺南市,仁德區,熊貓,
No.7,2018-03-17 20:24:19,臺中市,南屯區,小賢,支持
No.8,2018-03-17 21:23:38,苗栗縣,卓蘭鎮,123aaal,
No.9,2018-03-18 11:25:37,彰化縣,彰化市,核統,
No.10,2018-03-18 11:35:06,新北市,新莊區,nailo,
No.11,2018-03-18 11:38:39,新北市,三重區,羅玉,要做壞事就別怕人知道，而且不讓民眾知道面容，讓人擔憂周遭狀況與自身安全
No.12,2018-03-18 16:05:29,彰化縣,芬園鄉,張小敏,
No.13,2018-03-19 11:56:44,臺中市,豐原區,LEO,讓大家認識犯罪者
No.14,2018-03-19 12:51:30,高雄市,楠梓區,zephoenixro,
No.15,2018-03-19 23:05:08,臺北市,信義區,皇龍,
No.16,2018-03-21 08:18:24,臺中市,南屯區,嗯嗯,

