"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-24 09:12:08,基隆市,安樂區,jenny,同意
No.2,2017-11-24 09:25:07,新北市,林口區,james27,"防範隱患於未然,讚!"
No.3,2017-11-24 10:44:05,彰化縣,彰化市,黃核統,
No.4,2017-11-24 18:09:07,臺北市,中山區,DAVID,"我想昨日發生的縱火事件導致9人死亡及多人無家可歸,若能實施<自備容器購買汽油>通報警察機關,警察機關一經比對購買人有縱火前科,應可即時阻止，避免憾事。或警察機關可將有縱火前科的資料給各加油站，就別賣汽油給這些人(包含傷害....等前科者)。"
No.5,2017-11-24 23:40:14,新北市,中和區,Lala,看起來只是多一個不起眼的動作~對有心人來說起心動念容易實做卻沒那麼簡單了！👍
No.6,2017-11-25 00:40:49,花蓮縣,花蓮市,凱,
No.7,2017-11-25 07:59:26,新北市,淡水區,雪寶,
No.8,2017-11-25 09:31:45,臺中市,豐原區,Castiell,
No.9,2017-11-25 11:23:53,臺中市,北屯區,大公益小正義,
No.10,2017-11-25 11:37:35,高雄市,楠梓區,Alice,同意，當相關案件發生時，警方在偵查時就可利用其資料縮小搜查範圍，提高破案效率外，也有助於相關縱火案件的減少及發生
No.11,2017-11-25 17:14:26,桃園市,平鎮區,Kac,
No.12,2017-11-25 20:11:48,新竹市,東區,Utter,
No.13,2017-11-26 08:32:11,新北市,板橋區,Kary,
No.14,2017-11-26 12:37:17,新北市,三重區,詠雨,
No.15,2017-11-26 13:41:23,臺北市,信義區,Ground Zero,
No.16,2017-11-26 13:55:22,高雄市,小港區,玄楊,
No.17,2017-11-26 14:05:46,高雄市,左營區,卉霓,
No.18,2017-11-26 16:50:15,嘉義縣,太保市,帥哥,
No.19,2017-11-26 17:29:49,臺中市,太平區,阿力,贊成 不然誰知道買汽油的人是要做好事還是壞事
No.20,2017-11-26 20:56:09,臺南市,仁德區,Helen,國外也有這種 只要不是加進車子裡 購買汽油是需要檢查法並登記資料 有了這層防禦 想縱火的也怕被發現 可以多少遏止犯罪
No.21,2017-11-26 22:11:38,桃園市,蘆竹區,01,認同應該要管制！
No.22,2017-11-27 07:36:28,花蓮縣,富里鄉,安東 Nakow,"放火的不幸社會刑案已多起
政府應公告法令非車輛加油者
需以可掃描的個人證件作記錄"
