"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-14 14:44:15,臺中市,大甲區,落雨聲,
No.2,2017-11-14 22:03:42,臺北市,內湖區,Penker,
No.3,2017-11-15 06:17:49,新北市,新店區,誠,可以平衡北部發展
No.4,2017-11-15 16:30:02,新北市,三峽區,Alex,
No.5,2017-11-15 20:24:31,金門縣,金寧鄉,Swallow Lin,
No.6,2017-11-16 20:55:53,臺北市,北投區,LIN ROBERT,
No.7,2017-11-17 11:03:53,臺北市,中山區,colin,非常贊同 但是政客們會大力反對的
No.8,2017-11-17 22:20:28,新北市,淡水區,vinaya,老是瓜分掉國家最多的預算，臺北市憑什麼？
No.9,2017-11-18 10:44:45,新北市,五股區,jhou,
No.10,2017-11-19 10:59:05,臺北市,中山區,謝秉宸,事實上早在日治時期就是如此了，北北基合併才可發揮對市區最大效益。
No.11,2017-11-20 01:47:44,臺北市,士林區,安官,
No.12,2017-11-20 12:05:52,新北市,板橋區,Devin,
No.13,2017-11-21 18:12:29,新北市,三重區,playgamenow,
No.14,2017-11-21 21:48:34,新北市,蘆洲區,爽爽,
No.15,2017-11-23 02:18:04,新竹市,東區,Liu,同一個地區分了三個行政區，兩個直轄市包夾著一個省轄市這種奇怪的行政區劃，必須合併才能整合資源，讓大台北地區更強大。
No.16,2017-11-23 22:35:32,臺北市,中正區,Kei,
No.17,2017-11-25 17:04:00,新北市,土城區,Pokilai,
No.18,2017-11-25 22:27:27,新北市,板橋區,Chang,
No.19,2017-12-04 14:50:01,臺北市,萬華區,中男543,北北基本來就是同一個生活圈，無論生活、工作、就學早就分不開。合併可以將資源統一，事權統一，建設也可以統一規劃。早就應該合併了！
No.20,2017-12-15 14:30:48,新北市,新莊區,新北川景子,
No.21,2017-12-16 19:38:00,臺北市,大安區,陳小光,
No.22,2017-12-18 22:11:05,新北市,汐止區,JY,合併才會有國際競爭力

