"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-01 09:06:58,臺北市,松山區,小安,
No.2,2017-12-01 13:39:24,臺北市,大安區,莉莉安,罹患嚴重型流感，應強制休假5日，並不得扣薪不得列入任何考評；全面擴大補助施打流感疫苗
No.3,2017-12-01 13:48:11,新北市,新莊區,小雪,罹患嚴重型流感，應強制休假5日，並不得扣薪不得列入任何考評；全面擴大補助施打流感疫苗
No.4,2017-12-01 14:13:44,臺北市,萬華區,Sandra Kiang,
No.5,2017-12-01 14:22:49,臺北市,萬華區,DDDDD,
No.6,2017-12-01 14:26:29,臺北市,萬華區,Joshua,
No.7,2017-12-01 21:32:44,新北市,中和區,劉小白,
No.8,2017-12-01 22:05:52,新北市,中和區,Fish,
No.9,2017-12-01 22:15:48,臺中市,北區,為胡,提升公共衛生
No.10,2017-12-01 22:19:10,桃園市,八德區,榮,
No.11,2017-12-01 23:21:02,臺北市,中山區,"Cathy Chen ",
No.12,2017-12-01 23:30:11,新北市,中和區,劉思麟,
No.13,2017-12-01 23:35:24,臺中市,南屯區,Hsinyi,
No.14,2017-12-02 00:21:15,桃園市,桃園區,縣長,
No.15,2017-12-02 13:14:54,新北市,新店區,Julia,
No.16,2017-12-02 16:55:35,臺北市,信義區,"Angela ",認同
No.17,2017-12-02 20:59:13,臺北市,信義區,Keser,
No.18,2017-12-04 21:23:50,嘉義縣,布袋鎮,狂黑,
No.19,2017-12-05 08:59:29,新北市,板橋區,Devin,
No.20,2017-12-05 12:56:49,彰化縣,員林鎮,Amily chen,
No.21,2017-12-05 14:03:01,新北市,三重區,梅尼,
No.22,2017-12-05 18:25:59,新竹縣,寶山鄉,小孩也是國家資源,
No.23,2017-12-06 23:17:16,臺北市,大安區,這是一定要的~,
No.24,2017-12-07 02:54:09,臺中市,西屯區,尼恩,
No.25,2017-12-08 12:44:40,雲林縣,斗六市,奈,此案能避免造成群聚感染
No.26,2017-12-08 15:42:02,高雄市,大寮區,菁菁,
No.27,2017-12-11 13:29:18,新北市,新店區,may ray,
No.28,2017-12-12 15:40:17,基隆市,暖暖區,PP,
No.29,2017-12-14 20:49:26,臺北市,文山區,小偉,
No.30,2017-12-17 22:52:47,高雄市,三民區,茱莉,
No.31,2017-12-18 16:52:32,新竹市,香山區,brown,
No.32,2017-12-27 12:23:57,宜蘭縣,宜蘭市,陳太太,
No.33,2018-01-13 08:36:11,臺中市,潭子區,Hank,

