"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-08 13:27:42,南投縣,草屯鎮,丹尼爾,屢次酒駕的慣犯應該嚴懲，除了易造成交通事故的發生，在家中往往也是暴力的加害者，所以絕對要能成為判決離婚的因素之一。
No.2,2017-12-09 01:26:14,高雄市,鹽埕區,Vincent,
No.3,2017-12-09 02:13:47,新北市,樹林區,ㄎㄎ,
No.4,2017-12-09 20:53:14,臺北市,北投區,LIN ROBERT,
No.5,2017-12-11 09:11:08,新北市,永和區,D.C.,
No.6,2017-12-11 09:51:29,新北市,中和區,ps,
No.7,2017-12-11 13:03:02,新北市,新店區,may ray,
No.8,2017-12-11 13:31:31,嘉義市,西區,多多綠,
No.9,2017-12-12 00:42:44,新北市,板橋區,Sofie,
No.10,2017-12-12 01:31:55,臺北市,北投區,正義熊,
No.11,2017-12-12 15:33:18,新北市,林口區,JMH,
No.12,2017-12-12 21:09:54,彰化縣,彰化市,黃核統,
No.13,2017-12-12 22:48:52,新北市,三重區,阿水,
No.14,2017-12-12 23:21:22,高雄市,三民區,沙丁魚頭,支持
No.15,2017-12-14 09:10:20,臺中市,南屯區,蔡,
No.16,2017-12-15 01:28:06,屏東縣,屏東市,兔子,
No.17,2017-12-20 13:40:28,基隆市,信義區,KU,
No.18,2017-12-28 02:21:29,桃園市,平鎮區,芸,
No.19,2017-12-31 12:56:07,高雄市,左營區,張,

