"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-10 06:01:21,嘉義市,西區,Jay Chien,
No.2,2017-08-10 06:11:49,雲林縣,斗六市,虎虎虎,
No.3,2017-08-10 07:07:04,臺北市,大安區,mike210tw,
No.4,2017-08-10 07:53:50,臺中市,豐原區,馬達,
No.5,2017-08-10 08:31:59,新北市,汐止區,阿潘,
No.6,2017-08-10 08:36:03,臺北市,中正區,Mon-Ga,
No.7,2017-08-10 08:37:48,基隆市,中正區,Steven,車輛屬私人財產，只要在安全範圍內憑什麼不能變更呢？？
No.8,2017-08-10 08:44:25,臺北市,內湖區,小宇,
No.9,2017-08-10 08:47:23,桃園市,龜山區,阿國,
No.10,2017-08-10 08:49:48,臺北市,文山區,思齊,
No.11,2017-08-10 08:59:04,桃園市,蘆竹區,毛小糟,自排變速箱不耐用，維修又貴，應還給民眾選擇的變更權利
No.12,2017-08-10 09:15:18,新北市,三重區,Perry,
No.13,2017-08-10 09:28:28,花蓮縣,吉安鄉,春日,支持以不影響他人及交通安全為主的合法變更
No.14,2017-08-10 09:36:15,桃園市,平鎮區,柚子,
No.15,2017-08-10 09:40:09,臺中市,大安區,ckp,
No.16,2017-08-10 09:46:32,屏東縣,內埔鄉,熊貓,在總統都能選擇的時代，難道汽車排檔形式，變速箱及齒輪箱，不能夠更加自由，讓我們選擇嗎?
No.17,2017-08-10 09:58:45,臺北市,北投區,深海水瓶,"汽車由自排更換為手排系統，使用的零件皆為原廠製造生產之零件，實際上大多汽車自排與手排皆使用相同車身底盤，甚至皆有預留變速箱與周邊零件的固定點，在進行變速系統更改後並不會變更車身結構產生負擔，進而影響行車安全。
手排變速箱在機械結構上較自排系統簡單、穩定，較不會因為電子系統或是機械的故障，而產生汽車暴衝的危險。
手排系統在引擎的傳動效能優於自排系統，能使引擎節省燃油，在日常保養時使用產生的廢油量也較自排系統少許多。
駕駛手排車輛時的專注力，較駕駛自排車高，提高行車安全。"
No.18,2017-08-10 10:04:33,花蓮縣,吉安鄉,阿乃,
No.19,2017-08-10 10:14:01,新北市,樹林區,鬼宿狼,
No.20,2017-08-10 10:14:34,桃園市,桃園區,Sheng,
No.21,2017-08-10 10:22:27,臺中市,西屯區,遊客112,
No.22,2017-08-10 10:22:28,新竹市,東區,Chien,
No.23,2017-08-10 10:46:44,桃園市,桃園區,Frank,
No.24,2017-08-10 11:00:50,花蓮縣,瑞穗鄉,Wenyanz,
No.25,2017-08-10 11:01:32,臺北市,信義區,Tony,
No.26,2017-08-10 11:33:37,新北市,新店區,Ｍike Hu,人民本來就應該要可以更改自己擁有的東西。
No.27,2017-08-10 11:47:49,高雄市,楠梓區,kk_266,
No.28,2017-08-10 11:49:01,桃園市,龜山區,冬,不影響安全原則，手自排等變更應可讓個人自由選擇。
No.29,2017-08-10 11:59:19,苗栗縣,頭份鎮,Rumblefish,
No.30,2017-08-10 12:03:20,花蓮縣,花蓮市,Manson,不止變速箱形式其實連進氣形式也應開放合法改裝，國外早已行之有年，自排改手排、自然進氣改渦輪本就是省油的改裝，只要政府有驗車的合理配套即可，不要只會一味的限制，台灣內需市場就什麼都不會發展，政府請跟上時代的腳步。
No.31,2017-08-10 12:06:15,屏東縣,萬丹鄉,JACK,
