"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-22 02:01:14,臺南市,永康區,Jake,
No.2,2018-05-22 06:37:22,臺北市,士林區,MH Chou,"問親友沒有一個人聽過這個平台,知道的人真的太少了!
政府在廣播電台的公益廣告應該也要宣導此一平台的功能,
過去成功案例(如iMac報稅軟體改善等)要再增加媒體披露報導."
No.3,2018-05-22 20:50:52,臺中市,太平區,kevin,"本平台提供表達意見之機會,覺得很難得,應該珍惜與加以推廣"
No.4,2018-05-22 21:01:54,花蓮縣,花蓮市,殺敵爾,非長支持
No.5,2018-05-22 21:24:44,彰化縣,福興鄉,洪先生,"我也覺得應該要推廣此網站,讓大家一同參與公共事務."
No.6,2018-05-22 22:01:35,新竹市,東區,YYT,
No.7,2018-05-25 10:46:20,臺中市,大里區,Sean,
No.8,2018-05-25 16:21:25,宜蘭縣,大同鄉,支持,
No.9,2018-05-26 10:46:09,新北市,板橋區,阿誠,"支持！ 
這平台很好
不過要持續大量不停的宣傳
才有可能達到5000附議
希望政府投入支援推廣"

