"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-05 00:15:20,高雄市,左營區,消費者,支持
No.2,2017-08-05 00:22:53,苗栗縣,頭份鎮,毒菇,車商該為自己生產或代理的車款負責！
No.3,2017-08-05 00:24:01,桃園市,龜山區,支持檸檬車法案,支持檸檬車法案，保護消費者
No.4,2017-08-05 00:26:52,新竹市,北區,Louie Chen,消費者要團結.
No.5,2017-08-05 00:29:02,宜蘭縣,羅東鎮,修,保障車主
No.6,2017-08-05 00:29:04,臺中市,豐原區,俊明,
No.7,2017-08-05 00:29:15,臺中市,梧棲區,阿吉仔,支持保護消費者
No.8,2017-08-05 00:32:20,新北市,新店區,貓王,車商車輛有問題，本就應針對消費者做妥善的處理，消費者應可要求退換所購買的車輛！
No.9,2017-08-05 00:34:34,新竹市,東區,ChunChun,支持!!正視消費者的訴求。
No.10,2017-08-05 00:39:07,高雄市,鼓山區,Yueh,
No.11,2017-08-05 00:40:34,新北市,新莊區,沈祐署,
No.12,2017-08-05 00:40:47,苗栗縣,苗栗市,Media 9097,同意論點
No.13,2017-08-05 00:42:36,桃園市,平鎮區,Chiang,今天大家都一樣買車我卻買到的是車王 新車開不到一個禮拜300公里都不到變速箱就壞了 原廠竟然說出保 修過之後二手價就很差 那這是我們消費者應該要負擔的嗎 為什麼不能換一台新車
No.14,2017-08-05 00:43:46,屏東縣,萬丹鄉,MR.S,
No.15,2017-08-05 00:43:54,臺中市,豐原區,李信輝,保護汽車消費者權益，保障車主權益。
No.16,2017-08-05 00:58:47,臺中市,豐原區,某戰,
No.17,2017-08-05 01:06:33,苗栗縣,造橋鄉,"Lawrence ",
No.18,2017-08-05 01:08:00,高雄市,三民區,Vespa9527,維護消費者權益！
No.19,2017-08-05 01:08:14,基隆市,中正區,Keleolai,
No.20,2017-08-05 01:08:58,高雄市,仁武區,ㄚ丸,
