"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-15 00:24:05,桃園市,龜山區,Ning,支持，不要空氣汙染，不要二手菸，保持環境清新，現在空氣很不好，而且太多人呼吸道過敏。
No.2,2017-09-15 00:45:32,嘉義縣,太保市,11111,
No.3,2017-09-15 02:00:09,臺南市,永康區,keroro,
No.4,2017-09-15 09:26:39,桃園市,中壢區,Horace,全力支持~
No.5,2017-09-15 11:49:36,高雄市,左營區,益,支持
No.6,2017-09-15 13:40:26,臺南市,新營區,桂冠,讚阿
No.7,2017-09-15 13:41:06,臺南市,學甲區,Weital,支持無菸工作環境，杜絕看不見的三手菸
No.8,2017-09-15 13:41:14,臺南市,柳營區,cloe,我支持
No.9,2017-09-15 13:47:51,臺南市,新營區,蛋餃,釋出福利，比戒菸宣導效益好，提高民眾戒菸意願
No.10,2017-09-15 13:49:15,臺南市,新營區,RING,
No.11,2017-09-15 14:03:22,臺南市,新營區,sss,放假很好，但可以的話應該是減健保費比較公平
No.12,2017-09-15 14:49:54,雲林縣,斗六市,小護士,無條件支持
No.13,2017-09-16 08:49:31,臺南市,新營區,蘇小綠,
No.14,2017-09-16 09:14:02,臺南市,東山區,綺,
No.15,2017-09-16 09:15:15,臺南市,東山區,pei rong,
No.16,2017-09-16 09:31:21,臺南市,新營區,Ma Mei,
No.17,2017-09-16 11:12:18,臺南市,新營區,大頭妹將,
No.18,2017-09-16 13:12:29,臺南市,白河區,陳小佳,附議
No.19,2017-09-16 15:00:24,臺南市,東山區,木白,
No.20,2017-09-16 17:05:08,臺南市,新市區,茜,認同
No.21,2017-09-16 19:42:09,臺南市,歸仁區,Peter,同意
No.22,2017-09-17 08:06:51,臺北市,大安區,sky,贊成
No.23,2017-09-17 16:04:50,臺東縣,臺東市,修修,
No.24,2017-09-17 22:22:36,臺南市,新營區,兔子媽,支持支持超支持~
No.25,2017-09-17 23:48:14,高雄市,楠梓區,frank,
No.26,2017-09-18 09:15:49,高雄市,楠梓區,GB,
No.27,2017-09-18 21:09:50,臺北市,大同區,yoyo,
No.28,2017-09-19 12:19:31,臺中市,北屯區,二十二,
No.29,2017-09-19 13:52:07,臺北市,內湖區,yue,
No.30,2017-09-20 20:42:53,臺北市,信義區,巧古力,讚讚~有創意
No.31,2017-09-22 10:05:09,新北市,汐止區,Horatio,
No.32,2017-09-24 04:57:38,新北市,淡水區,Fish,
No.33,2017-09-26 08:38:59,基隆市,中正區,jichin,"合理的訴求,製造健康危害的人要比非製造健康危害的人多點福利"
No.34,2017-09-27 09:29:08,桃園市,中壢區,joel,
No.35,2017-09-27 10:06:30,臺北市,萬華區,Kelsey,
No.36,2017-09-27 10:17:15,桃園市,大溪區,RoderickSung,n/a
No.37,2017-09-27 10:20:54,臺北市,大同區,Thomas,
No.38,2017-09-28 18:49:31,新北市,樹林區,ducomom,非抽菸的人還要忍受菸味，影響身心健康。很支持這個提案
No.39,2017-09-30 12:51:25,新竹縣,寶山鄉,李小胖,
No.40,2017-10-01 20:48:10,臺北市,萬華區,SOSOBOY,改成買一包菸，實施一次鞭刑好了
