"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-15 06:52:49,屏東縣,屏東市,Mark,
No.2,2017-04-16 13:04:06,臺北市,南港區,Brian,文化可以替代，生命不可替代
No.3,2017-04-16 13:26:40,桃園市,平鎮區,Leo,避免台灣動物絕種
No.4,2017-04-16 14:05:45,臺北市,南港區,星辰,不殺動物阿
No.5,2017-04-16 14:15:46,臺南市,學甲區,嘉熺,殺人不合法 為何殺生合法
No.6,2017-04-18 15:41:55,新竹市,東區,李元文,
No.7,2017-04-18 23:23:17,苗栗縣,頭份鎮,Lenz,
No.8,2017-04-19 11:09:57,新北市,淡水區,盧盟,獵殺山林動物是不文明的行為，若非生存必要，請避免此事發生
No.9,2017-04-20 13:16:09,新北市,板橋區,獅子,
No.10,2017-04-20 13:18:35,新北市,板橋區,皮蛋,我們不因該去打擾大自然生物界的生活，獵殺、捕捉等都會破壞到生態界。
No.11,2017-04-20 13:19:32,新北市,板橋區,林林,傷害動物會有人心譴責
No.12,2017-04-26 10:59:28,新北市,樹林區,祖靈,
No.13,2017-04-29 07:33:24,新竹市,北區,Fish Zeng,
No.14,2017-05-03 14:41:04,臺中市,東區,Dim,
No.15,2017-05-04 22:59:57,高雄市,鳥松區,Esmeralda,
No.16,2017-05-08 17:12:14,新北市,永和區,薇,己所不欲，勿施于人。
No.17,2017-05-10 10:35:08,雲林縣,莿桐鄉,May,
No.18,2017-05-13 13:07:29,臺中市,北屯區,龍貓,
No.19,2017-06-01 13:27:33,新北市,土城區,Una,
