"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-14 00:40:51,新竹市,東區,alan,
No.2,2017-11-14 01:05:39,桃園市,平鎮區,Aileen,
No.3,2017-11-14 10:07:30,新北市,板橋區,NITERRO,
No.4,2017-11-14 11:11:15,臺中市,北屯區,aaron99035,
No.5,2017-11-14 12:20:18,新竹市,香山區,兒兒兒,
No.6,2017-11-14 14:40:43,臺中市,大甲區,落雨聲,在家也能投票不用再排隊
No.7,2017-11-14 14:57:45,高雄市,鳳山區,"GUO  ",
No.8,2017-11-16 11:33:47,臺南市,北區,林智能,
No.9,2017-11-16 14:29:12,臺中市,大雅區,小羊,
No.10,2017-11-20 05:43:11,臺南市,北區,Haochi Kao,
No.11,2017-11-20 10:47:50,桃園市,桃園區,美格,也可提高投票率，一舉數得的好方法。
No.12,2017-11-20 19:19:43,新北市,三重區,playgamenow,
No.13,2017-11-20 21:02:34,基隆市,七堵區,hill,
No.14,2017-11-21 08:42:57,桃園市,新屋區,八百,自然人憑證就可以代表了，這樣公投也更方便了
No.15,2017-12-02 19:46:10,桃園市,中壢區,康小彬,如果有app會更好
No.16,2017-12-05 10:00:18,臺中市,沙鹿區,DC,
No.17,2017-12-11 17:44:09,新北市,新店區,may ray,
No.18,2017-12-19 09:38:03,嘉義縣,民雄鄉,yuchen hsieh,實現公投的重要基礎

