"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-01 11:27:25,臺中市,西屯區,歐文,
No.2,2017-04-01 14:34:08,臺北市,北投區,Territory,
No.3,2017-04-01 15:54:35,臺東縣,臺東市,草葉遲,
No.4,2017-04-02 13:06:14,高雄市,三民區,少淵,面對入侵者，我們應有權利自我防衛，過度防衛應該不罰。
No.5,2017-04-02 13:42:20,臺東縣,臺東市,陳一尾,
No.6,2017-04-03 11:59:56,臺中市,沙鹿區,布布恰恰,法律不該成為入侵者的保護傘
No.7,2017-04-04 06:24:41,臺南市,東區,SHEN,
No.8,2017-04-04 19:52:28,臺中市,北屯區,蘋果哥,
No.9,2017-04-05 16:17:59,屏東縣,恆春鎮,阿忠,
No.10,2017-04-06 21:24:15,新北市,五股區,Roger,
No.11,2017-04-08 00:28:06,桃園市,平鎮區,小日,
No.12,2017-04-09 11:55:40,嘉義市,東區,Leo Chen,
No.13,2017-04-09 23:31:51,新北市,新店區,Ｒicky,
No.14,2017-04-10 21:42:38,臺北市,大安區,lauwen,
No.15,2017-04-12 18:38:51,臺中市,南區,林,
No.16,2017-04-13 15:14:18,彰化縣,二林鎮,hcy,
No.17,2017-04-23 20:41:27,新竹市,北區,大頭,
No.18,2017-04-26 22:52:48,新北市,三重區,阿璋哥,
No.19,2017-04-28 20:26:56,新北市,三重區,perlita,
No.20,2017-04-28 23:11:05,高雄市,楠梓區,Wei,
No.21,2017-04-29 21:19:45,高雄市,三民區,不知道,
No.22,2017-05-03 22:05:02,新竹縣,湖口鄉,D,
No.23,2017-05-04 14:01:52,桃園市,桃園區,Koenig,
No.24,2017-05-07 04:56:50,臺北市,中正區,Jerry,在美國若是任意闖入私人住宅，屋主有權利朝入侵者開槍，打死了算是自我防衛免罪，台灣應該學習
No.25,2017-05-08 16:38:51,新北市,汐止區,John,
No.26,2017-05-13 19:23:24,桃園市,蘆竹區,KEVIN,
