"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-28 07:21:46,苗栗縣,三義鄉,windlesser,"政府經濟職能存在對市場活動的限制,約束及監管,若一再放任明顯圖利業者行為而就地合法,顯以無該主管機關存在的必要性"
No.2,2018-03-28 09:36:15,新竹縣,竹北市,Ana,政府機關如果無法為人民謀最大利益，就沒有存在必要。
No.3,2018-03-28 11:06:07,苗栗縣,南庄鄉,政府要保護人民,要健康
No.4,2018-03-28 11:10:14,臺北市,信義區,食神,政府是否已經忘了初衷
No.5,2018-03-28 14:40:48,高雄市,前鎮區,健康守護者,政府要把關，而不是大開方便之門
No.6,2018-03-28 17:51:12,苗栗縣,南庄鄉,安格,
No.7,2018-03-28 21:00:14,新北市,新莊區,Emma,
No.8,2018-03-28 22:09:50,桃園市,大園區,潘嬌兒,
No.9,2018-03-29 07:51:37,新竹縣,竹北市,Ivana,政府是怎麼了，食藥署應該替民眾把關，本來就不該把有害添加物通過加到食品裡，不是嗎？
No.10,2018-03-29 08:01:20,雲林縣,北港鎮,黃,
No.11,2018-03-29 09:21:24,新竹縣,竹北市,Chris,
No.12,2018-03-29 09:58:54,新竹市,北區,Paul,
No.13,2018-03-29 10:50:16,新竹縣,竹北市,Mac,贊同
No.14,2018-03-29 12:15:30,桃園市,桃園區,黃媽媽,支持，人生命無價，如不保證民眾食安，將耗費健保資源
No.15,2018-03-29 12:43:38,新北市,泰山區,泇,
No.16,2018-03-29 18:59:32,苗栗縣,竹南鎮,Sherry,
No.17,2018-03-29 19:38:05,桃園市,楊梅區,joejoe548963,
No.18,2018-03-29 20:00:49,臺中市,西屯區,Mini,
No.19,2018-03-29 20:57:29,新竹市,東區,Kency,
No.20,2018-03-29 21:39:30,新竹縣,竹北市,Emma,
No.21,2018-03-29 22:49:26,新竹市,東區,水姑娘,贊成提議
No.22,2018-03-30 03:44:59,臺南市,永康區,芹菜,
No.23,2018-03-30 07:48:53,臺北市,中山區,Jean,
No.24,2018-03-30 14:40:00,新竹市,東區,SU,
No.25,2018-03-31 09:44:59,基隆市,中正區,kiki,
No.26,2018-04-01 21:51:38,新竹市,北區,Joyce,
No.27,2018-04-02 12:42:57,桃園市,桃園區,ruby,食藥署如果不為民眾把關.還有誰應該做這件事?
No.28,2018-04-02 14:11:32,臺中市,西區,藍天,
No.29,2018-04-03 18:52:38,新北市,新店區,Evy,
No.30,2018-04-06 13:01:34,桃園市,中壢區,Mason,支持，食品安全問題未來只能越加重視
No.31,2018-04-06 14:53:54,彰化縣,溪州鄉,琦琦,
No.32,2018-04-09 00:32:55,新北市,汐止區,葆光,亂七八糟添加物太多
No.33,2018-04-09 23:29:19,臺中市,神岡區,馮先生,
No.34,2018-04-10 09:32:32,桃園市,龜山區,發哥,食藥署不得將對人體有害的任何化學成分列為食品添加物
No.35,2018-04-10 10:03:36,桃園市,八德區,hsin,
No.36,2018-04-10 10:20:16,桃園市,桃園區,深藍,
No.37,2018-04-10 10:21:02,新竹市,香山區,小雨,
No.38,2018-04-10 10:27:53,新北市,三重區,艾琳,應嚴格監督與執行 給民眾食的安全
No.39,2018-04-10 10:31:54,嘉義市,西區,李怡君,
No.40,2018-04-10 10:55:35,臺北市,萬華區,Joanna,
No.41,2018-04-10 10:59:02,臺東縣,臺東市,秦捷,
No.42,2018-04-10 11:18:25,臺北市,信義區,Belle,
No.43,2018-04-10 11:37:42,臺北市,中正區,Michelle,
No.44,2018-04-10 12:01:56,新北市,板橋區,Jimmy Li,
No.45,2018-04-10 12:41:27,花蓮縣,壽豐鄉,Xray,贊成
No.46,2018-04-10 12:45:29,臺中市,北區,淑貞,
No.47,2018-04-10 12:49:57,彰化縣,彰化市,rebecca,
No.48,2018-04-10 13:18:55,新北市,三重區,小君,附議
No.49,2018-04-10 14:33:58,臺南市,安定區,滿天星,這關係著全體人民的健康豈能馬虎，本來就不該對人體有害的成份放進來。
No.50,2018-04-10 14:52:23,基隆市,中山區,Joe,
No.51,2018-04-10 21:44:52,臺北市,大同區,Alex,
No.52,2018-04-13 22:05:27,新竹縣,湖口鄉,食,
No.53,2018-04-21 22:52:28,彰化縣,彰化市,小恩,
No.54,2018-04-21 22:57:03,臺中市,大里區,阿肥,很好
No.55,2018-04-21 23:34:14,臺中市,大里區,Leo,
No.56,2018-04-22 12:52:57,屏東縣,屏東市,Kkk,
No.57,2018-04-25 11:00:17,桃園市,龜山區,Wii,

