"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-03-15 08:59:56,臺中市,沙鹿區,MLLee,
No.2,2017-03-15 11:10:17,桃園市,龜山區,澎澎哥,
No.3,2017-03-16 09:57:13,桃園市,桃園區,bingo huang,"這麼好的想法，卻沒有法源可以支持

用力附議!"
No.4,2017-03-16 10:45:01,新北市,板橋區,尾貓,
No.5,2017-03-16 10:45:32,基隆市,信義區,劉宸佑,我覺得這樣對學生很好
No.6,2017-03-16 10:57:48,新北市,板橋區,小賓賓,"有優惠很好,可以減輕金錢負擔,還可以讓大家多多搭乘大眾運輸工具,減少廢氣"
No.7,2017-03-16 11:02:37,新北市,板橋區,黃凡瑄,"我覺得這個想法挺不錯的,因為可以減低價錢.選擇多趟性搭乘,不會造成一次搭乘就要付15塊錢,卻只搭不到4站就下了車,如果一天出門搭乘了3趟,就要付45元,對於一位學生來說,還是有點貴的,所以這個12歲以上學生乘坐大眾交通工具有5折優惠得提議,我覺得很棒。"
No.8,2017-03-16 11:02:44,新北市,板橋區,黃苡瑄,"我覺得這個提議很不錯,不僅可以減少家庭的負擔,還可以不怕浪費,因為如果你只搭了兩站,會很浪費錢,如果選擇有5折優惠,可以選擇多趟性搭乘,真的對每個人都好。"
No.9,2017-03-16 14:54:21,臺中市,北區,黃雅雯,支持
No.10,2017-03-16 17:48:50,新北市,板橋區,To G,如果有些人家庭收入很少or上下班、上下課離家裡十分十分的遙遠，大眾交通工具可以打5折優惠，可以減少貧窮的人的辛苦。
No.11,2017-03-16 18:08:02,嘉義縣,竹崎鄉,振維,
No.12,2017-03-16 20:52:10,桃園市,桃園區,黃金發,
No.13,2017-03-16 21:01:27,桃園市,桃園區,Yan,對我要坐車放學的有很大的幫助
No.14,2017-03-16 21:30:06,桃園市,桃園區,孫娟,
No.15,2017-03-17 14:39:51,新北市,板橋區,曾翊銘,對於學生的齡逾錢夠少了，所以降價比較好
No.16,2017-03-17 15:43:35,新北市,板橋區,Snowy,"可以減少學生出車禍的機率,也可以幫忙負擔清寒學生得的搭車費用."
No.17,2017-03-18 08:39:31,新北市,板橋區,洪儀翔,
No.18,2017-03-18 08:55:48,桃園市,桃園區,Sun,
No.19,2017-03-18 10:31:16,桃園市,桃園區,黃斌哥,"讚啦!

民意代表都在睡覺?"
No.20,2017-03-18 10:33:15,臺北市,中正區,正義台灣,"讚喔

大推~"
No.21,2017-03-18 10:34:49,高雄市,前鎮區,台灣加油,"水啦

用力支持"
No.22,2017-03-18 10:36:53,臺中市,新社區,大家要團結,"很重要的民生議題

一定要通過"
No.23,2017-03-18 10:39:06,臺南市,將軍區,台灣，有你真好,
No.24,2017-03-18 12:58:15,桃園市,桃園區,孫于翔,
No.25,2017-03-18 19:49:21,新北市,板橋區,胖,
No.26,2017-03-19 09:06:59,新北市,樹林區,許宗為,現在很多小孩都是自己搭車去學校，如果打5折多少可以減少父母的壓力
No.27,2017-03-19 17:18:12,彰化縣,伸港鄉,Condiz,
No.28,2017-03-19 18:27:22,臺北市,內湖區,小翔,
No.29,2017-03-19 21:11:51,新北市,土城區,東泓,減少學生支出，減低經濟壓力
No.30,2017-03-20 02:03:19,新竹市,香山區,123嘿嘿嘿,
No.31,2017-03-20 16:48:30,臺南市,安南區,Kuni,
No.32,2017-03-22 22:31:34,新北市,汐止區,芹菜,
No.33,2017-03-24 07:03:15,新北市,汐止區,Tony0203,
No.34,2017-03-25 21:51:18,臺南市,後壁區,遠,
No.35,2017-03-26 00:54:08,高雄市,鼓山區,陳先生,
No.36,2017-03-26 07:29:52,臺北市,信義區,apple pam,
No.37,2017-03-26 11:44:51,高雄市,三民區,stupid,讓學生搭乘大眾運輸工具享有優惠票價
No.38,2017-03-29 00:44:09,臺北市,內湖區,厭世,
No.39,2017-03-29 13:19:03,雲林縣,斗六市,大叔,
No.40,2017-04-01 03:07:13,臺北市,南港區,liau,
No.41,2017-04-04 14:33:38,臺北市,大安區,康至青,
No.42,2017-04-05 12:46:03,桃園市,桃園區,ㄏ,
No.43,2017-04-16 21:38:06,臺北市,內湖區,嗨,這樣在上下學就可以不必自己騎腳踏車
No.44,2017-04-19 22:56:01,基隆市,安樂區,寶路,
No.45,2017-04-20 13:26:06,新北市,板橋區,皮蛋,支持本提案!
No.46,2017-04-23 17:14:05,新竹縣,湖口鄉,Dwan,
No.47,2017-05-05 14:33:29,高雄市,前鎮區,鍋,
No.48,2017-05-13 12:52:40,臺中市,北屯區,龍貓,
