"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-10 01:52:29,新北市,中和區,BensonHuang,
No.2,2018-05-10 04:03:54,臺北市,文山區,Tim H. Lee,以核養綠
No.3,2018-05-10 08:21:34,新竹市,東區,小古,
No.4,2018-05-10 08:58:04,臺北市,松山區,Babu,
No.5,2018-05-10 10:16:31,臺北市,內湖區,john,非核家園名稱非常理想.但老百姓的民生及健康要先維持.應要綠能都健全後.才可以來推動非核家園.而不是淪為政客下的口號.來欺騙人民.
No.6,2018-05-10 12:19:53,新竹市,東區,John01,
No.7,2018-05-10 12:22:30,臺中市,大里區,陳誌,
No.8,2018-05-10 14:52:30,新北市,板橋區,cloudz,
No.9,2018-05-10 20:50:13,屏東縣,竹田鄉,patrick,造成空氣汙染，電費又更貴，一個科技不能因為有危險就止步不前，難道古人有因為火會被燙到就拒絕發展嗎？我們想的英國是如何讓核電廠更安全，持續的發展這項科技，而不是因為有風險就停止了發展的腳步，開始退步，因此廢除核電不是明智的，而且火力也不能達成綠色家園的願景，只會變成灰色家園而已。
No.10,2018-05-10 23:21:25,臺中市,北區,魂,根本 是民進黨在台灣作亂 挖財的附屬組織之一
No.11,2018-05-11 05:13:46,新北市,三重區,界王,寧願子孫被輻射害死，也不要自己在這幾年就先被微粒給塞死..
No.12,2018-05-11 09:35:53,臺中市,北屯區,emma,缺電危機
No.13,2018-05-11 17:13:45,新北市,板橋區,非核不可,非核家園就是錯誤政策!
No.14,2018-05-12 22:24:09,高雄市,茄萣區,jin,支持!!
No.15,2018-05-14 07:28:03,新北市,三峽區,kenny,"廢核是一個理想國，所嚮往的事，但要廢核之前，必需提出配套措施!光用嘴巴說沒有用，要能做出來，核能廢了，要用什麼來發電 ? 我不相信!用愛就能發電 ! 現在的政府，不是光靠耍嘴皮就能讓民眾信服，而是
要讓民眾有感 ! 請提出替代能源，而不使任何物價提高，之情況下，做出讓升斗小民心服口服。"
No.16,2018-05-14 23:27:33,臺北市,文山區,Andy,
No.17,2018-05-15 09:31:37,屏東縣,屏東市,lcclsw,
No.18,2018-05-15 11:09:11,新北市,蘆洲區,哲哲,以前是台灣笑大陸北京霧霾，但最近台北空氣品質越來越差⋯⋯視線不佳
No.19,2018-05-15 20:03:52,新北市,土城區,明明,非核造成肺咳!嚴重侵害我們的生存權!
No.20,2018-05-16 02:28:15,臺中市,大雅區,瘋狗,台灣的能源政策已造成人民困擾更使外資外企不敢進場應該重新檢視能源政策
No.21,2018-05-16 08:20:01,基隆市,中山區,基隆熱巴,
No.22,2018-05-16 14:44:52,花蓮縣,玉里鎮,Zih Siang-Jhang,安全的核電比燃煤（氣）而造成空污來得好，核廢料可以封存，而空污會四處擴散。
No.23,2018-05-17 01:16:07,臺中市,大甲區,x,
No.24,2018-05-18 00:58:17,高雄市,鳳山區,小煙,"台灣真的沒有能力能夠生產大量的再生能源，火力發電又是增加空氣污染的壞選擇，何不就啟用核四呢？
核電廠一定會有危險，但其他發電方式就比較低嗎？"
No.25,2018-05-19 16:40:07,臺中市,大里區,侯柑新,
No.26,2018-05-22 02:19:28,臺南市,永康區,Jake,
No.27,2018-05-22 11:22:18,臺南市,永康區,lily,
No.28,2018-05-23 19:00:44,新北市,板橋區,小巫,
No.29,2018-05-24 15:57:56,臺中市,北區,圓圓,
No.30,2018-05-24 19:22:29,臺南市,永康區,小傑,
No.31,2018-05-27 01:21:21,臺北市,文山區,B,對目前的執政黨恐怕有點難度XD

