"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-08 00:20:20,臺北市,北投區,dfgbgfc,
No.2,2017-07-08 01:17:18,高雄市,鳳山區,wei ting,
No.3,2017-07-08 12:46:15,彰化縣,彰化市,XK Chen,
No.4,2017-07-08 14:06:19,高雄市,前鎮區,Jason.  Wang,
No.5,2017-07-08 21:13:05,彰化縣,彰化市,核統,"除了漢學研究、中華文明史學術需要、相關專業需求，其他人生活上完全用不到古文，台灣學生需要學很多在其他國家不用學的東西，所以想學的人再學就好了。

並非只有古文算中華文化，現代文學也會成為文化的一部分，一般人略懂、能體會就好。看歷史影片學生接受度應該會比閱讀死板、與說話脫節的古文高。

現在國文課本古文部分可說是「獨尊儒術」，其他學派好像不被重視，而儒家文化也有很多缺點。

另外，希望政府、機關發文不要讓人很感覺非常「鄭重聲明」，捨去「係」、「不得」不用，減少「之」的使用，盡量口語化不使用讓人看了覺得「過度鄭重」、看了頭痛、很不口語化的用法、文字。"
No.6,2017-07-08 21:47:02,桃園市,桃園區,縱橫捭闔,
No.7,2017-07-09 01:38:37,臺中市,南屯區,Han Lin,
No.8,2017-07-09 12:13:38,基隆市,中山區,阿祐,
No.9,2017-07-09 19:13:46,嘉義縣,太保市,848646,
No.10,2017-07-10 08:48:42,花蓮縣,壽豐鄉,當然,
No.11,2017-07-10 09:04:47,臺北市,松山區,YC.KU,
No.12,2017-07-10 13:32:21,新北市,新店區,順風,而且考試不可以考出來
No.13,2017-07-10 13:50:22,新北市,板橋區,,
No.14,2017-07-10 15:29:33,新竹縣,新豐鄉,Mr.S,"也請支持 (教育改革應從建立大數據庫&學分制度著手),(亞泥礦區改水庫),(鬧區馬路興建行人&機車鋼構高架道路),(公共政策網路參與平台應該扮演匯集全國民眾意見的橋樑不限行政院事務),(頭城交流道配合礁溪街道改善圖),(建立公共工程品質&廠商信用追蹤系統),(調整行政區有效整合區域資源),(建議政府發行特別股與民眾交換公共設施保留地),(四或五線道窄安全島的不良的汽車待轉車道修改為左右彎汽車都須待轉),(蘇花改接國道5),(各級學校,各類補習班教室都須設置防止性侵害標語),(增加政府組織內人員的流動性),(課徵所得稅時的小額退補稅差應列下一期一起併算),(興建家戶地下水庫),(夏季用電漲價價差應專款專用補貼太陽能或風力發電),(讓消費者獲得""消費&不浪費權"",防止浪費與改標)"
No.15,2017-07-10 20:54:06,桃園市,桃園區,倪倪媽咪,環保愛地球
No.16,2017-07-11 01:13:21,新北市,中和區,NICK,
No.17,2017-07-11 10:09:29,臺北市,信義區,Bill,
No.18,2017-07-11 16:31:15,屏東縣,長治鄉,…,
No.19,2017-07-14 15:01:18,雲林縣,斗南鎮,嗯哼,身為高中生非常非常非常支持
No.20,2017-07-16 09:29:39,雲林縣,麥寮鄉,yc,有些想法也該改變了
No.21,2017-07-18 15:57:00,高雄市,苓雅區,李大庭,
No.22,2017-07-19 21:37:38,高雄市,新興區,千野,
No.23,2017-07-22 10:16:23,新北市,三重區,Ray,
No.24,2017-07-27 11:29:54,臺南市,東區,Luc,
No.25,2017-07-27 11:55:19,臺中市,大雅區,綾,
No.26,2017-07-27 19:38:07,高雄市,楠梓區,CancerJun,
No.27,2017-07-27 22:13:44,臺中市,北屯區,大肚子,
No.28,2017-07-27 22:57:24,新竹市,東區,Khóo Sè-lâm,
No.29,2017-07-28 01:34:20,高雄市,新興區,大貓,
No.30,2017-07-28 09:36:38,臺北市,松山區,yao,儒教還在課綱裡面本身就是個笑話
No.31,2017-07-29 14:44:08,臺南市,永康區,蟹老板,
No.32,2017-07-30 01:17:09,臺北市,內湖區,SYT,
No.33,2017-07-30 10:54:46,高雄市,鳳山區,芊尋,
No.34,2017-07-30 15:55:42,臺北市,南港區,Ting,
No.35,2017-07-30 16:34:10,新北市,板橋區,大腸,
No.36,2017-07-30 21:54:08,新北市,汐止區,呂,
No.37,2017-07-31 07:57:05,新竹縣,竹北市,阿澄,
No.38,2017-08-02 00:07:40,臺北市,大同區,Ian,
