"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-28 17:53:13,高雄市,永安區,koko,
No.2,2017-10-29 16:12:18,臺北市,大安區,d,早點讓三寶出局好嗎
No.3,2017-10-30 19:36:27,苗栗縣,竹南鎮,有書的地方就有天堂,"機車排放的汙染物太多, 早該如此了. 並可加速電動機車發展."
No.4,2017-10-31 13:47:59,臺中市,清水區,王駿,
No.5,2017-10-31 14:52:34,新北市,五股區,老羅,
No.6,2017-11-02 11:19:13,臺北市,大同區,先,
No.7,2017-11-03 19:55:45,臺南市,安南區,借個廁所,環保愛地球，救救北極熊
No.8,2017-11-13 22:04:53,臺南市,永康區,Drake Hsieh,我認為不只要禁止汽油汽機車上路，也要同時改變台灣的電力結構，否則只是將污染轉移而已。
No.9,2017-11-13 22:05:11,高雄市,鼓山區,阿茂,
No.10,2017-11-15 00:03:42,臺北市,文山區,Jennie,
No.11,2017-11-16 22:43:54,臺中市,烏日區,琳琳,空汙越來越嚴重了，希望大家能多多利用大眾運輸
No.12,2017-11-18 18:23:08,高雄市,三民區,林先生,
