"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-01 08:23:05,臺北市,中正區,WEI,人口的多寡是直接影響國家生產力的主要指標之一，而且人口問題是屬於國家性的重要議題，不應該分地方、區域、貧富而有所不同。
No.2,2017-12-01 10:07:22,新北市,中和區,嘉,
No.3,2017-12-01 11:53:50,彰化縣,伸港鄉,盈君,
No.4,2017-12-01 12:23:29,新北市,三重區,Joan Yang,因為物價過高，薪水低！少子化也是因為負擔不起
No.5,2017-12-01 14:59:12,臺南市,善化區,絕望,反正兵在精不再多少子.就少子到時在跟國外招精英入住台灣.在定居台灣.在入籍台灣就好.這就解決ㄋ
No.6,2017-12-01 15:41:04,新北市,石門區,Good,
No.7,2017-12-01 20:12:58,新北市,汐止區,李光儀,
No.8,2017-12-01 23:20:23,彰化縣,溪湖鎮,Bon,
No.9,2017-12-02 01:33:22,臺中市,清水區,阿發,
No.10,2017-12-02 09:30:51,臺北市,文山區,哇係阿德,
No.11,2017-12-03 00:39:26,彰化縣,埔心鄉,張定勝,
No.12,2017-12-03 16:22:13,新北市,泰山區,吾命由吾不由天,
No.13,2017-12-03 17:30:20,臺南市,麻豆區,Jane,
No.14,2017-12-03 21:23:51,臺南市,安南區,Lisa姨,
No.15,2017-12-04 00:42:45,嘉義縣,民雄鄉,俊宸,"同樣都是納稅人為何每個縣市生育補助多寡落差好幾千
補助無法統一難道是城鄉差距的歧視
偏鄉的人民就更不應該有生存的援助？"
No.16,2017-12-04 08:19:20,新竹縣,竹東鎮,哩賀,
No.17,2017-12-04 09:47:27,苗栗縣,苗栗市,Wei,同樣繳稅，應該給與一樣的補助，而不是以居住縣市來補助！
No.18,2017-12-04 10:16:01,苗栗縣,苗栗市,Yayamrp,
No.19,2017-12-05 08:56:25,新北市,板橋區,Devin,
No.20,2017-12-05 17:49:50,基隆市,七堵區,米,"認同~
同是在台灣生子就應享有同樣福利
包含孩子出生後的托育及就學選擇，地區的差異性很大"
No.21,2017-12-06 19:15:19,新北市,三重區,SIdney,
No.22,2017-12-08 10:39:34,南投縣,竹山鎮,693655,
No.23,2017-12-08 14:37:48,臺北市,文山區,rhythm,
No.24,2017-12-09 21:49:32,臺北市,中山區,Fanty,
No.25,2017-12-09 23:35:08,屏東縣,屏東市,仲,
No.26,2017-12-11 09:19:33,臺南市,新市區,魚,
No.27,2017-12-11 13:18:35,新北市,新店區,may ray,
No.28,2017-12-15 20:18:13,新竹縣,竹東鎮,Blue,
No.29,2017-12-15 20:52:52,新竹縣,竹東鎮,耘,
No.30,2017-12-15 20:56:12,新北市,中和區,peter,
No.31,2017-12-15 21:05:03,臺中市,龍井區,皮在癢,統一標準，人無貴賤
No.32,2017-12-16 00:24:02,桃園市,桃園區,傑克男孩,
No.33,2017-12-16 06:54:28,彰化縣,彰化市,Samlin,
No.34,2017-12-16 19:44:53,桃園市,中壢區,Keynes,
No.35,2017-12-25 09:09:25,桃園市,桃園區,貓大,我是土生土長桃園人，但結婚後戶籍遷到先生那邊，很多桃園有的福利都無法獲得...
No.36,2017-12-28 12:39:33,臺北市,文山區,木村,"鼓勵生育為全國的目標，非台北市單一職責，且台北市收入已比較多縣市更高
補助不應僅台北市有育兒津貼"
No.37,2017-12-30 22:27:42,臺南市,南區,花媽,

