"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-29 07:58:31,雲林縣,北港鎮,黃,
No.2,2018-03-29 08:35:32,臺中市,霧峰區,真理必勝,"無能政客
連歐盟都不能捨棄核能
憑什麼我們要用白癡的乾淨的媒來傷害肺
政治正確不能凌駕一切
讓政客們為無能付出代價"
No.3,2018-03-29 09:28:54,桃園市,龜山區,單單,
No.4,2018-03-29 09:47:48,新竹市,北區,Paul,
No.5,2018-03-29 11:36:57,新竹市,北區,支持,
No.6,2018-03-29 13:37:28,新北市,鶯歌區,杰斯,
No.7,2018-03-29 17:10:18,新北市,汐止區,阿忠,
No.8,2018-03-29 20:49:46,臺南市,安平區,wei,
No.9,2018-03-29 22:12:54,臺北市,大同區,yoyo,
No.10,2018-03-29 23:25:34,臺北市,士林區,陳橋吉,重啟核四廠
No.11,2018-03-30 06:18:36,桃園市,新屋區,Ruru,
No.12,2018-03-30 09:40:53,嘉義市,西區,SAINT,
No.13,2018-03-30 10:48:07,臺北市,中山區,吳面,
No.14,2018-03-30 14:29:24,桃園市,平鎮區,chunfu,"無能的政府..只會搞鬥爭、只會搞對立，沒有遠見，不願意面對現實，只有意識型態，硬凹......真的一點""能力""都沒有 ...只會享受""權力""與""權利""...一昧的""浪費人民的稅金--血汗錢""....只會向財團靠攏 ..只顧自己的利益...臉皮真厚...唉！只願翻轉..結束這種長期的對立...2個黨都一樣.. 只是--民進黨更誇張就是...如果可以.. 歡迎對面的過來.. 來終結這些""政治人物""...我們小老百姓.. 只能自求多福..靠自己..過日子..真是個""爛政府""..............."
No.15,2018-03-30 20:16:29,嘉義縣,水上鄉,柯君,
No.16,2018-03-30 23:10:55,新北市,新莊區,徐蘋果,
No.17,2018-03-30 23:59:17,雲林縣,斗六市,心之御守,
No.18,2018-03-31 16:59:33,彰化縣,芬園鄉,張小敏,
No.19,2018-04-01 06:22:32,屏東縣,萬丹鄉,柚235,藍綠惡鬥、無限內耗，政策連四年都撐不下去，只會騙選票，已遠遠落後亞洲各國，浪費時間公帑，原地踏步至少還休養生息，內鬥只能是退步、藍綠人民三方皆輸！
No.20,2018-04-01 17:19:47,新北市,土城區,小林,
No.21,2018-04-01 21:18:55,臺中市,沙鹿區,胡小源,
No.22,2018-04-01 23:17:53,臺北市,中山區,Klay5914,
No.23,2018-04-02 00:17:55,高雄市,楠梓區,Jack,
No.24,2018-04-02 08:03:31,臺北市,中山區,茄,"針對執政黨施政問題導致國家受損，贊成
應向他們提出賠償"
No.25,2018-04-02 09:07:16,臺中市,西屯區,Julia Wen,
No.26,2018-04-02 09:22:49,彰化縣,埤頭鄉,jack,
No.27,2018-04-02 09:51:52,臺中市,西區,K,
No.28,2018-04-02 13:26:48,桃園市,中壢區,mozom7,
No.29,2018-04-02 14:13:27,高雄市,鳳山區,Henry.CH,因為政治的干擾造成損失政客該負責任
No.30,2018-04-02 14:54:14,基隆市,安樂區,胖胖鈽,

