"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-28 11:45:18,新竹縣,湖口鄉,lin,
No.2,2017-12-28 15:48:30,新竹市,東區,重啟核四,
No.3,2017-12-28 22:35:00,高雄市,彌陀區,M,
No.4,2017-12-29 15:50:42,臺北市,內湖區,以核養綠,
No.5,2017-12-29 21:16:05,臺北市,萬華區,eagle,
No.6,2017-12-30 13:03:29,新北市,林口區,COLA,
No.7,2017-12-30 17:55:15,臺北市,信義區,angelsky777,
No.8,2017-12-30 20:19:57,新竹市,香山區,斷山者,
No.9,2017-12-30 22:52:25,高雄市,大寮區,阿福,拒絕用肺發電
No.10,2017-12-31 03:17:49,臺南市,安南區,Jessicalin,
No.11,2017-12-31 10:42:00,彰化縣,員林鎮,雷茵,"核爆我並不擔心 
除役年齡硬要延用，才會核爆 
我想說，那些核廢料要怎麼處置？"
No.12,2017-12-31 11:16:47,宜蘭縣,羅東鎮,林保元,"廢除核四是政治因素，不該踐踏專業，核一到核三哪個不是拼裝的？非核家園搞得全台陷入空汙威脅，政府卻只怪工商產業，護航火電，民進黨主席林義雄的意見是意見，我等的意見也是意見，為甚麼就得讓少數人的政治信仰來踐踏專業呢？

肺癌罹患率持續上升且都是不吸菸的人所得到的肺腺癌，我們不想再當人肉空氣清淨機！"
No.13,2017-12-31 11:26:32,花蓮縣,花蓮市,趙先生,
No.14,2017-12-31 11:38:30,宜蘭縣,蘇澳鎮,三本弓,附議
No.15,2017-12-31 11:40:47,新北市,新店區,ddman,
No.16,2017-12-31 11:44:41,新北市,三重區,Yang Chun,
No.17,2017-12-31 11:45:34,桃園市,龜山區,高,啟用核四
No.18,2017-12-31 11:51:08,新北市,板橋區,Skyline,
No.19,2017-12-31 11:51:50,新北市,中和區,柏青哥,
No.20,2017-12-31 11:59:56,高雄市,鼓山區,螺旋丸大帝,"躁進推行非核家園並沒有經過我的同意
我沒有授權政府拿我的納稅錢繳奇異的違約金
核四務必商轉"
No.21,2017-12-31 12:00:54,桃園市,桃園區,小胖,
No.22,2017-12-31 12:02:57,新北市,三峽區,run.bone,以核四減少碳排。
No.23,2017-12-31 12:33:32,臺中市,北屯區,老方,
No.24,2017-12-31 13:05:16,新北市,樹林區,773377,
No.25,2017-12-31 13:12:14,新竹市,北區,非咳家園,已核養綠，非咳家園
No.26,2017-12-31 13:14:19,嘉義市,西區,夏嵐,雖然知道沒效 還是來附議了
No.27,2017-12-31 13:30:28,臺中市,東區,drepk,
No.28,2017-12-31 13:33:56,新北市,三峽區,王道阿隆,雖然我知道就算附議過了還是會被政府無視，但至少還能有表達自己意見的空間以及行動ㄣ
No.29,2017-12-31 14:07:50,高雄市,鳳山區,kyle,
No.30,2017-12-31 14:18:05,高雄市,鳳山區,Shin,
No.31,2017-12-31 14:31:48,臺中市,南屯區,萬,
No.32,2017-12-31 14:32:50,臺中市,西屯區,反火力發電爛政策民眾,
No.33,2017-12-31 15:19:43,新北市,林口區,葉子,浪費國家資源，一個政策不應該隨著政黨輪替一直改變，一個好好的減碳利器就這樣被廢掉？中間所付出的時間和金錢，這些政治人物是不是要賠償啊？看看現在的法國總統馬克宏的發言，再看看國內的毫無理性的鬧劇⋯無言啊！
No.34,2017-12-31 15:35:00,臺中市,太平區,Ange,
No.35,2017-12-31 16:24:20,新北市,新店區,娜娜基,肺褐家園，請留給反核人士自家吸好吸滿。
No.36,2017-12-31 16:31:20,高雄市,三民區,林小姐,執政黨真是亂亂來…
No.37,2017-12-31 16:56:30,高雄市,大寮區,、,
No.38,2017-12-31 17:22:27,臺北市,中山區,ham,
No.39,2017-12-31 17:36:17,新北市,中和區,Purin,
No.40,2017-12-31 18:43:09,屏東縣,恆春鎮,曾,
No.41,2017-12-31 19:48:52,臺北市,萬華區,Kevin Chen,
No.42,2017-12-31 19:51:49,高雄市,左營區,羽月,重啟核電，空污減量
No.43,2017-12-31 20:12:07,苗栗縣,苗栗市,翻車魚,
No.44,2017-12-31 20:13:24,新北市,板橋區,林子傑,"花幾千億來給你賣幾百億，當人民是白癡嗎?
寧可留著當備案，也不要這樣賣掉。"
No.45,2017-12-31 20:24:28,高雄市,楠梓區,oceans,
No.46,2017-12-31 20:29:07,臺南市,永康區,張鶴,
No.47,2017-12-31 20:47:15,高雄市,新興區,LionHead,
No.48,2017-12-31 21:19:39,桃園市,中壢區,Devin,
No.49,2017-12-31 21:31:06,臺中市,大雅區,帥到臉在痛,以中華民國現今社會需求，需要核能發電廠運轉
No.50,2017-12-31 23:04:15,新北市,新店區,Garyl,
No.51,2018-01-01 01:37:24,新北市,中和區,大胖,
No.52,2018-01-01 01:51:31,新北市,新店區,David Liao,"支持核一、二、三延役，核四商轉
以核養綠才是世界的趨勢"
No.53,2018-01-01 08:05:39,臺中市,潭子區,台中羅,

