"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-03 18:42:54,高雄市,鳳山區,Amberyuyu,
No.2,2018-02-04 20:42:16,嘉義縣,新港鄉,喬伊絲,
No.3,2018-02-04 20:49:19,臺中市,北屯區,aaron99035,
No.4,2018-02-04 22:39:23,臺中市,西屯區,Andrew,健康第一。
No.5,2018-02-05 12:01:31,彰化縣,員林鎮,夏天,
No.6,2018-02-05 16:07:14,臺中市,西區,Hsin-Hsin Hsu,"孩子的健康不能等!!
PM2.5空氣品質沒達標, 秋冬中南部常紅害紫爆, 怎能讓學生整天待在室內外空品差不多髒且沒過濾的教室??
不想花錢給學校添購空氣清淨機? 那就讓空品AQI常保綠色, 不要見橘見紅啊!!"
No.7,2018-02-05 16:10:30,高雄市,三民區,王先生,
No.8,2018-02-05 16:12:13,雲林縣,斗六市,Lin,"空汙越來越嚴重，雖然不痛不癢，但卻對人體明顯的有害。
更何況是小孩子呢？"
No.9,2018-02-05 16:16:47,臺中市,太平區,Mimi,
No.10,2018-02-05 16:26:12,臺中市,龍井區,愛散步,

