"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-06 11:17:43,新北市,中和區,小魚,"禁止載只有鍊子栓住的狗

也可將相關危險性影片在學校公開播放"
No.2,2017-12-06 12:20:46,臺北市,北投區,黃子杏,贊成
No.3,2017-12-06 12:22:08,新北市,新莊區,大芋,
No.4,2017-12-06 14:28:22,彰化縣,大村鄉,玉米,杜絕三寶!酒駕out!
No.5,2017-12-06 15:33:53,臺中市,北屯區,籽椿,"我支持劉小草對行車安全的提案
 有鑑於用路行車實況所見，許多人邊划手機邊騎車或開車或騎車超速，根本是常態；甚至很多人根本不懂得遵守交通號誌；
這些馬路上的地雷，隨時害人害己，造成社會問題。
1.第一次考取交通駕照者，在領照前，均須上一堂交通講習，觀看車禍的血肉模糊慘狀影片，
　讓有駕照的人，心裡牢牢記住：馬路如虎口。才會警惕遵守交通規則的重要性。
2.在學者，可由學校開辦交通講習課程，取得上課認證後，方可考駕證。"
No.6,2017-12-06 19:50:56,桃園市,八德區,宇宙無神佛世界宗教都是騙,建議不只是圖片而已，應該要看完死亡車禍事故的影片及常見的違規案例及罰則，警惕未來的用路人，避免重大交通事故發生，也讓國內道路環境越來越好。
No.7,2017-12-06 23:25:37,臺南市,東區,禾蒼,非常認同
No.8,2017-12-06 23:53:36,高雄市,鹽埕區,Vincent,
No.9,2017-12-07 00:04:09,新北市,土城區,Riva,
No.10,2017-12-07 00:13:47,高雄市,鼓山區,KH Chen,
No.11,2017-12-08 19:08:53,桃園市,大園區,尹希,
No.12,2017-12-09 21:14:40,臺中市,西屯區,Mcom,預防重於治療的好觀念
No.13,2017-12-09 21:54:21,雲林縣,斗六市,葛拉拉,路上不遵守交通規則的人越來越多
No.14,2017-12-21 10:37:47,臺北市,大安區,Jeff,
No.15,2017-12-23 22:29:02,臺中市,西屯區,Chagin,

