"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-03-14 11:47:26,屏東縣,萬巒鄉,陳致詠,
No.2,2017-03-14 22:03:26,新竹市,東區,Lee Patrick,讓年輕人更早開始政治參與，提升自我價值
No.3,2017-03-15 03:25:05,新竹縣,竹東鎮,YuCius Tang,
No.4,2017-03-15 09:07:57,臺中市,沙鹿區,MLLee,
No.5,2017-03-15 19:23:11,新竹市,東區,陳楷吉吉,
No.6,2017-03-16 11:52:14,彰化縣,彰化市,S.X. Tang,
No.7,2017-03-18 17:20:48,新北市,中和區,葉宜昕,
No.8,2017-03-18 23:27:15,新北市,汐止區,"宏 ",
No.9,2017-03-19 19:00:51,臺南市,北區,賢,
No.10,2017-03-19 23:28:42,臺中市,南屯區,蛋黃酥,
No.11,2017-03-21 19:32:51,花蓮縣,壽豐鄉,梣,
No.12,2017-03-23 04:58:30,臺北市,文山區,雨天,
No.13,2017-03-23 22:12:54,桃園市,龜山區,阿噗,
No.14,2017-03-26 14:47:06,臺北市,中山區,ZC,投票亦同
No.15,2017-03-27 11:20:20,臺中市,北屯區,阿良,
No.16,2017-03-29 13:38:22,新北市,中和區,Qing Ji,
No.17,2017-04-01 02:46:09,臺北市,南港區,liau,
No.18,2017-04-01 03:04:47,臺北市,南港區,lu,
No.19,2017-04-01 17:32:28,臺北市,南港區,ㄌㄌ,
No.20,2017-04-02 00:57:01,新北市,永和區,建錡,希望擁有公民權利的限制也能比照辦理
No.21,2017-04-04 14:40:46,臺北市,大安區,康至青,
No.22,2017-04-05 18:05:59,桃園市,蘆竹區,嘿祐,
No.23,2017-04-08 16:33:46,臺北市,文山區,jimmy,
No.24,2017-04-09 13:50:44,新北市,八里區,CHfuc,
No.25,2017-04-09 16:58:13,高雄市,仁武區,HOH,
No.26,2017-04-13 23:09:20,臺中市,烏日區,jim,"刑法要我們18歲就要為自己的行為完全負責，但是民法規定20歲才有行為能力,真的很不公平！"
No.27,2017-04-13 23:15:19,臺中市,梧棲區,日生,
No.28,2017-04-19 22:44:55,基隆市,安樂區,寶路,
No.29,2017-04-21 08:03:29,臺北市,文山區,Li,現在的社會已經和以前不同應該做改變了
No.30,2017-04-25 18:12:12,桃園市,桃園區,daniel chiu,
