"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-29 06:35:12,新竹市,東區,Josie,
No.2,2018-03-29 08:41:09,新北市,新店區,AhMing,
No.3,2018-03-29 09:08:27,桃園市,龜山區,CJF,
No.4,2018-03-29 09:24:47,臺北市,士林區,Betty,
No.5,2018-03-29 09:24:59,臺北市,士林區,Coco,
No.6,2018-03-29 09:31:48,桃園市,龜山區,巴仕德,I’m changing second pin pin 330 no no go to that shy to te目前薪水要養小孩不容易，若能夠在政府單位，補貼相信會有很大的幫助
No.7,2018-03-29 09:46:22,新北市,新莊區,RT,
No.8,2018-03-29 09:48:36,桃園市,龜山區,Lydia,
No.9,2018-03-29 09:54:56,臺北市,北投區,ARIEL,
No.10,2018-03-29 09:59:13,新竹市,北區,Paul,
No.11,2018-03-29 10:06:04,桃園市,楊梅區,柏知,
No.12,2018-03-29 10:06:11,雲林縣,虎尾鎮,Frodo,讓小孩能享有更好的知識取得管道是必要的
No.13,2018-03-29 10:13:47,臺北市,內湖區,曉喻,
No.14,2018-03-29 10:17:08,臺北市,北投區,Lydia Hsu,
No.15,2018-03-29 10:18:12,桃園市,平鎮區,George,
No.16,2018-03-29 10:20:31,桃園市,桃園區,小野狼愛大紅帽,
No.17,2018-03-29 10:21:03,新北市,板橋區,曾文成,"小孩教育不能等
我附議"
No.18,2018-03-29 10:29:15,桃園市,龜山區,ㄧ,
No.19,2018-03-29 10:51:35,新北市,土城區,小潘,
No.20,2018-03-29 10:56:56,臺北市,內湖區,QQ,
No.21,2018-03-29 11:10:38,臺北市,大同區,yun,
No.22,2018-03-29 11:17:28,臺北市,士林區,Judy Chiang,
No.23,2018-03-29 11:17:52,新北市,永和區,琦琦,
No.24,2018-03-29 11:18:18,新北市,土城區,黃阿信,支持應該不收錢。
No.25,2018-03-29 11:21:18,桃園市,龜山區,于桐,
No.26,2018-03-29 11:21:21,臺北市,士林區,Venus,
No.27,2018-03-29 11:31:04,新北市,永和區,MeijingChen,
No.28,2018-03-29 11:41:44,新竹市,北區,支持,
No.29,2018-03-29 11:57:04,桃園市,龜山區,miyita2003,支持
No.30,2018-03-29 13:14:07,桃園市,桃園區,Shelly,支持已免費鼓勵國中小多元學習
No.31,2018-03-29 13:52:57,臺北市,士林區,Makey,
No.32,2018-03-29 15:43:34,臺中市,西屯區,露克,支持減免國中小學童參觀文教機構門票
No.33,2018-03-29 17:11:40,新北市,板橋區,萌萌,
No.34,2018-03-29 18:23:27,臺北市,士林區,Cindy,
No.35,2018-03-29 18:23:30,臺北市,士林區,Candy,贊成
No.36,2018-03-29 20:12:41,臺北市,南港區,Fangyi,
No.37,2018-03-29 20:40:02,臺北市,士林區,wu,
No.38,2018-03-29 21:21:33,臺北市,士林區,Sue,
No.39,2018-03-29 21:40:20,桃園市,蘆竹區,勁佑,
No.40,2018-03-29 21:45:51,桃園市,蘆竹區,Sam,
No.41,2018-03-29 21:55:06,桃園市,蘆竹區,小江,
No.42,2018-03-29 21:55:49,臺北市,士林區,ellen,
No.43,2018-03-30 06:24:42,桃園市,蘆竹區,Jenny,
No.44,2018-03-30 08:11:39,桃園市,龜山區,Joan,
No.45,2018-03-30 09:19:46,臺北市,大安區,biki,兒童是我們的希望與未來，只要經費可以，政府應該要傾全力提供能栽培他們成為世界一流人才的機會，讓這塊土地上的兒童與父母充滿希望快樂的成長，教育下一代成為最優秀的人才是政府與每個個人都責無旁貸的事。政府把納稅人的錢灑在無聊的外交關係上，簡直是腦殘，殊不知國力強大人才擠擠，落後國家自然主動靠攏，拼國力拼不過中共，拼教育手段再不積極用心也就輸得徹底了。
No.46,2018-03-30 09:47:09,新北市,中和區,Susan,
No.47,2018-03-30 22:49:35,桃園市,桃園區,EVAR,
No.48,2018-03-31 17:02:58,彰化縣,芬園鄉,張小敏,
No.49,2018-04-02 12:33:54,臺北市,中山區,☁️,
No.50,2018-04-02 16:11:30,桃園市,龍潭區,fiona,
No.51,2018-04-03 09:35:57,臺北市,松山區,蛋黃媽,
No.52,2018-04-05 03:37:53,苗栗縣,銅鑼鄉,LORE,
No.53,2018-04-09 16:00:01,高雄市,大社區,Jason,支持
No.54,2018-04-11 01:46:55,臺北市,萬華區,shin205,
No.55,2018-04-20 11:31:09,新竹縣,新豐鄉,穎穎,
No.56,2018-04-23 19:25:36,新北市,新莊區,夯夯,

