"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-01 00:41:08,臺北市,大同區,cheng,
No.2,2017-11-01 09:52:00,新竹市,香山區,兒兒兒,
No.3,2017-11-01 11:00:03,臺中市,大里區,蔡玉米,
No.4,2017-11-01 11:25:24,臺中市,北區,八方雲集,"如今狼師於各校流竄
確實需要有明確的防護措施"
No.5,2017-11-01 21:05:35,屏東縣,屏東市,BB,很公平 有膽量犯錯 就要有膽量被公諸於世的決悟
No.6,2017-11-02 09:34:27,臺中市,大甲區,落雨聲,
No.7,2017-11-02 11:43:39,臺南市,歸仁區,Chris Ya,
No.8,2017-11-02 11:47:59,臺南市,永康區,性平會的小咖,
No.9,2017-11-02 12:24:07,新北市,林口區,Peiyuli,
No.10,2017-11-03 18:28:51,新北市,新莊區,圓圓,
No.11,2017-11-03 21:55:26,臺中市,西屯區,小咪,
No.12,2017-11-03 22:01:08,新北市,板橋區,Nin,
No.13,2017-11-03 22:44:13,新北市,汐止區,阿搞,
No.14,2017-11-04 13:17:54,臺中市,大甲區,阿派,
No.15,2017-11-04 15:41:56,桃園市,蘆竹區,steven,
No.16,2017-11-04 16:03:38,新北市,鶯歌區,遊民,
No.17,2017-11-04 21:29:06,高雄市,苓雅區,棒棒,
No.18,2017-11-04 22:46:44,臺北市,士林區,Chi,
No.19,2017-11-04 22:56:45,臺北市,大同區,Leo,
No.20,2017-11-05 11:33:20,新竹市,北區,小新,
No.21,2017-11-06 01:43:11,新北市,三重區,playgamenow,
No.22,2017-11-06 14:55:15,臺中市,南屯區,千家媳婦,
No.23,2017-11-06 22:50:13,臺中市,北區,Jenny,
No.24,2017-11-07 02:04:18,高雄市,鳥松區,HanWU,
