"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-08 22:09:05,新竹市,東區,BMHSL1230,
No.2,2017-08-09 08:51:50,彰化縣,和美鎮,ayk,
No.3,2017-08-09 20:53:31,臺北市,文山區,德瑪西亞,
No.4,2017-08-09 23:49:01,臺北市,萬華區,陳哲元,
No.5,2017-08-10 00:10:09,新北市,土城區,哈利,
No.6,2017-08-10 00:10:28,新北市,土城區,"Han ",
No.7,2017-08-10 13:27:47,新竹市,北區,dsf,
No.8,2017-08-10 15:54:46,臺中市,南屯區,蛋黃酥,
No.9,2017-08-10 16:54:37,高雄市,新興區,vivi,
No.10,2017-08-11 22:57:28,臺南市,善化區,小翔,
No.11,2017-08-22 15:57:38,桃園市,大園區,沒自怎麼取,支持
No.12,2017-08-28 21:52:38,臺北市,文山區,T,
No.13,2017-09-07 11:14:01,彰化縣,和美鎮,陌,
No.14,2017-09-10 17:32:25,新北市,中和區,黃達,天生全能的人少之又少 但上帝關了一扇門也會開啟一扇窗 術業有專攻 讓魚去爬樹 不可能 讓鳥去游泳 亦是不可能 每個人都必須在適當的區域才能發揮最大的能力 與其讓人在未來每個都懂一點 但懂得不深 不如讓人在適合自己的位置 成為專家
