"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-01 01:18:26,高雄市,鳳山區,陳思賢,我很贊成這觀念頭，不論是熟或不熟，關係中的雙方應該建立尊重的概念，尤其對對方的身體，應該要建立對方說可以才是可以，才是建立良好關係的基礎。
No.2,2017-12-01 09:28:08,新北市,板橋區,Lena,
No.3,2017-12-01 10:48:17,臺北市,士林區,將草,雖然說態度意願這東西通常很難取得法院可用的證物，但是這提案的核心本身是好的。希望有更完善的保護＂被害人＂的方法。
No.4,2017-12-01 13:45:45,新北市,板橋區,L,
No.5,2017-12-02 16:36:27,高雄市,三民區,stupid,
No.6,2017-12-02 19:45:15,花蓮縣,壽豐鄉,一,法官判決太恐龍，若修法增加對受害者的權利，則可改善，畢竟情形發生突然且複雜，若不修法，法官都會判自願
No.7,2017-12-02 20:49:59,臺北市,信義區,Keser,
No.8,2017-12-04 13:33:09,新北市,蘆洲區,Peku,很多有關於妨害性自主罪的罪犯在面對法官或檢察官審問時，僅簡簡單單說一句：她又沒有拒絕。便想藉此逃脫自己所犯的罪。所以應該要增加這一句話來加以保障。
No.9,2017-12-04 13:48:57,新北市,淡水區,張,
No.10,2017-12-04 20:44:19,基隆市,信義區,贊成,必須增加
No.11,2017-12-04 21:37:17,新北市,三重區,playgamenow,
No.12,2017-12-07 16:37:38,新北市,金山區,落晰,無
No.13,2017-12-10 13:48:57,宜蘭縣,宜蘭市,chakini,
No.14,2017-12-11 08:45:41,新北市,新店區,Paloma,也要教育落實面對這種情況，孩子從小明確知道說不就是不要，與接收到對方正在拒絕的能力！
No.15,2017-12-11 09:20:50,新北市,永和區,D.C.,
No.16,2017-12-11 13:30:52,新北市,新店區,may ray,
No.17,2017-12-15 01:34:11,屏東縣,屏東市,兔子,
No.18,2017-12-18 17:14:13,臺中市,太平區,祐,覺得這確實是法律上可以修正的地方
No.19,2017-12-20 07:36:24,新北市,林口區,小哥,確實應該增加，因為很多時候受害者都是在半推半就之下發生性行為

