"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-10 07:00:04,澎湖縣,馬公市,Chenglin,
No.2,2017-11-10 07:10:19,臺南市,南區,max,支持
No.3,2017-11-10 07:12:57,澎湖縣,馬公市,圓仔花,我想要有一自由安全回家的路
No.4,2017-11-10 07:14:41,桃園市,平鎮區,小瑋,
No.5,2017-11-10 07:20:08,澎湖縣,馬公市,BB,
No.6,2017-11-10 07:25:31,澎湖縣,馬公市,寶哥,
No.7,2017-11-10 07:31:35,澎湖縣,馬公市,阿信,這座橋一次解決澎湖的醫療、交通！完全贊成興建
No.8,2017-11-10 07:43:47,澎湖縣,馬公市,林大志,
No.9,2017-11-10 07:48:16,澎湖縣,馬公市,漂泊人,
No.10,2017-11-10 07:48:23,澎湖縣,望安鄉,森煌,
No.11,2017-11-10 07:49:51,臺北市,內湖區,澎科學生,澎湖鳥地方，鳥人鳥事特別多，一定要開通跨海大橋，不然澎湖人像活在化外之地一樣無法成長，醫療上教育上都不如本島，活得像次等公民，跨海大橋能增進資訊流通，才不會讓澎湖人變成井底之蛙。
No.12,2017-11-10 07:49:54,澎湖縣,馬公市,菊島小兵,
No.13,2017-11-10 07:57:23,新北市,汐止區,陳樹,
No.14,2017-11-10 08:02:08,澎湖縣,西嶼鄉,Alex,
No.15,2017-11-10 08:05:46,澎湖縣,馬公市,多多,
No.16,2017-11-10 08:16:15,澎湖縣,馬公市,不是我,
No.17,2017-11-10 08:16:44,澎湖縣,馬公市,CL,
No.18,2017-11-10 08:17:19,澎湖縣,湖西鄉,羅西南迪,
No.19,2017-11-10 08:25:52,澎湖縣,馬公市,依依,
No.20,2017-11-10 08:26:59,澎湖縣,馬公市,曉禾,你覺得政府會做嗎?一定找很多理由吧!
No.21,2017-11-10 08:29:42,澎湖縣,湖西鄉,蔡小比,
No.22,2017-11-10 08:29:49,澎湖縣,馬公市,阿綸,
No.23,2017-11-10 08:32:01,臺南市,北區,紅色殲滅姬,
No.24,2017-11-10 08:38:35,澎湖縣,望安鄉,Saena,
No.25,2017-11-10 08:41:11,澎湖縣,馬公市,sgi,
No.26,2017-11-10 08:51:28,澎湖縣,馬公市,黃小新,
No.27,2017-11-10 08:53:33,澎湖縣,馬公市,Adencity,
No.28,2017-11-10 08:55:14,澎湖縣,湖西鄉,OPEL,我支持興建台澎大橋，解決本縣交通困境
No.29,2017-11-10 08:56:05,雲林縣,臺西鄉,笑嘻嘻,
No.30,2017-11-10 08:59:20,澎湖縣,馬公市,Joy,支持建台澎大橋，解決澎湖交通困境
No.31,2017-11-10 09:01:49,澎湖縣,馬公市,忠明,交通永遠是發展經濟最優先的一哩路
No.32,2017-11-10 09:04:21,澎湖縣,馬公市,小莊,希望前能花在刀口上，讓澎湖更好。
No.33,2017-11-10 09:05:41,澎湖縣,馬公市,Chunchi,
No.34,2017-11-10 09:07:01,澎湖縣,馬公市,輝哥,技術不是問題，是政府作不作才是問題！
No.35,2017-11-10 09:08:58,屏東縣,恆春鎮,Peter,早就該蓋了！！
No.36,2017-11-10 09:13:17,高雄市,前金區,阿光,"沒有便利的交通，
搞再多配套都是事倍功半。"
No.37,2017-11-10 09:14:13,澎湖縣,馬公市,大樹,也可以參考日本青函海底鐵路隧道，不受天候影響，但需專業綜合評估。我曾在今年寫信給總統府，但回復說轉交專業單位辦理，至少大家把聲音說出來了，加油。
No.38,2017-11-10 09:17:30,澎湖縣,湖西鄉,ㄚ捷,
No.39,2017-11-10 09:17:59,澎湖縣,馬公市,阿洽,
No.40,2017-11-10 09:19:53,澎湖縣,湖西鄉,小毅,本來就該蓋了
