"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-29 00:06:36,新竹縣,竹北市,Peggy,
No.2,2017-11-29 00:15:19,新北市,三重區,Karen,
No.3,2017-11-29 12:17:12,新竹縣,竹北市,wen,
No.4,2017-11-29 15:37:35,高雄市,苓雅區,minshall,
No.5,2017-11-29 17:18:15,苗栗縣,苑裡鎮,廖,
No.6,2017-11-29 18:03:42,新竹市,香山區,安,
No.7,2017-11-29 19:56:01,新竹縣,竹東鎮,玫,
No.8,2017-11-29 20:07:41,新竹市,香山區,Mia,
No.9,2017-11-29 20:12:35,新竹市,北區,周舍,
No.10,2017-11-29 20:20:58,新竹縣,芎林鄉,麥麥,
No.11,2017-11-29 21:13:48,新竹縣,竹北市,黃,
No.12,2017-11-29 21:14:42,新竹縣,竹東鎮,煊,
No.13,2017-11-29 23:06:15,新竹縣,竹東鎮,Alan,
No.14,2017-11-29 23:47:13,新竹縣,竹東鎮,允,
No.15,2017-11-30 02:00:04,新竹縣,竹東鎮,米奇,
No.16,2017-11-30 13:55:51,新竹縣,竹北市,儀,特留分超沒道理！我的錢我自己支配！
No.17,2017-11-30 14:23:19,新竹市,北區,Jy,
No.18,2017-11-30 14:23:27,臺北市,文山區,Sprite,
No.19,2017-12-01 13:50:30,新北市,中和區,WCH,除了終生未婚者外，夫妻若無子女，過世的一方的父母也不在世，其兄弟姐妹也有特留份的部份，也應一併取消。
No.20,2017-12-04 22:23:12,臺中市,西屯區,Jay,
No.21,2017-12-26 12:26:42,新北市,永和區,giefeefee,
No.22,2018-01-07 15:18:35,高雄市,楠梓區,河,
No.23,2018-01-07 19:46:50,新北市,三重區,Vagabond,

