"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-31 01:20:31,彰化縣,花壇鄉,張詞,
No.2,2017-10-31 01:34:57,臺北市,中正區,Eric,
No.3,2017-10-31 05:05:43,臺北市,松山區,miss,勞基法無法保護勞工
No.4,2017-10-31 11:13:03,新竹市,香山區,兒兒兒,
No.5,2017-10-31 15:47:54,苗栗縣,竹南鎮,Ayu,
No.6,2017-10-31 16:10:11,彰化縣,鹿港鎮,JK,是應該提高罰則，這樣慣老闆才不會那麼多。
No.7,2017-10-31 17:06:16,新北市,板橋區,CH,
No.8,2017-10-31 19:23:24,高雄市,鳳山區,小陳,
No.9,2017-10-31 19:35:40,臺北市,大同區,cheng,
No.10,2017-10-31 20:54:47,臺南市,仁德區,阿宇,
No.11,2017-10-31 21:34:29,新竹市,北區,Helen,
No.12,2017-11-02 01:20:04,新北市,板橋區,北空爸比,罰款金額至少讓資方認為多請人員比較划算的程度，這論點十分邏輯、合理且符合經濟學。
No.13,2017-11-02 09:46:24,高雄市,鼓山區,KK,
No.14,2017-11-02 10:57:11,臺北市,大同區,先,
No.15,2017-11-02 12:30:11,新北市,永和區,安君,
No.16,2017-11-02 16:24:26,高雄市,燕巢區,賴吉恩~,"新制勞基法，的配套措施就是該配合這個

不然一樣無限制加班依然存在。"
No.17,2017-11-03 01:42:22,臺北市,文山區,Landy,
No.18,2017-11-03 08:40:58,桃園市,平鎮區,Hou,
No.19,2017-11-03 09:41:43,新竹市,北區,wei,
No.20,2017-11-03 12:15:25,臺中市,西區,浴火企鵝,
No.21,2017-11-03 12:38:44,苗栗縣,造橋鄉,武楓,
No.22,2017-11-03 22:34:24,桃園市,中壢區,iousagill,
No.23,2017-11-04 09:48:27,臺南市,新市區,蒨,
No.24,2017-11-05 11:28:25,臺南市,北區,阿宏,
No.25,2017-11-07 02:04:24,高雄市,鳥松區,HanWU,
No.26,2017-11-07 16:29:20,臺中市,大里區,蔡玉米,
No.27,2017-11-07 20:19:33,高雄市,鼓山區,jeqqq,
No.28,2017-11-08 06:57:44,新北市,三重區,狗狗,政府不斷的向資方靠攏！明明勞方才是佔社會大多數人，勞資關係的不平等如此明顯，政府卻不斷睜眼說瞎話，爛政府！一個人的力量很小，但一群人的力量就可以很大，也許我們不夠格稱為那些勞資談判中的代表，但至少我們可以透過連署自由認同的議題，盡可能讓政府聽到民眾的聲音！
No.29,2017-11-09 10:30:35,南投縣,南投市,ian,應該將罰款提高至月薪的500~1000倍以保障勞方權益.
