"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-22 15:13:37,桃園市,平鎮區,yu,
No.2,2017-04-22 20:44:37,高雄市,三民區,吾亓,菸害真的很可怕，影響生活品質，造成環境汙染
No.3,2017-04-22 21:14:09,高雄市,三民區,琴,
No.4,2017-04-22 21:25:04,臺中市,太平區,芭蕉,
No.5,2017-04-22 21:35:21,臺北市,北投區,李曉謙,
No.6,2017-04-22 21:42:24,高雄市,三民區,陳威縉,"在每一位駕駛者都有安全法則,近年來的pm2.5也是一直持續的增加，則這個提議在無論是安全上或是空氣品質上都是一個不錯的提議"
No.7,2017-04-23 13:25:55,新北市,汐止區,An,抽煙害人害己
No.8,2017-04-23 13:43:00,新北市,新店區,無,開放空間吸菸，會讓不想吸到二手菸的人權益受損
No.9,2017-04-23 14:50:03,臺北市,內湖區,Momo,吸菸不健康!
No.10,2017-04-23 15:19:51,宜蘭縣,五結鄉,修,應得嚴謹執行
No.11,2017-04-23 15:52:47,高雄市,楠梓區,穆慕,
No.12,2017-04-23 17:07:42,新竹縣,湖口鄉,Dwan,
No.13,2017-04-23 18:22:46,桃園市,楊梅區,2234,
No.14,2017-04-23 18:38:25,高雄市,鼓山區,十三番,
No.15,2017-04-23 19:30:24,新竹市,東區,Ting,支持 請加重罰款
No.16,2017-04-23 20:35:53,桃園市,中壢區,He,
No.17,2017-04-23 21:40:47,屏東縣,鹽埔鄉,郁,"支持
有時候路上騎車前面的人隨手扔了菸蒂
閃了可能造成追撞，不閃會被燙到"
No.18,2017-04-24 00:58:37,臺北市,萬華區,SORE,
No.19,2017-04-24 06:33:19,臺南市,新化區,咖啡,
No.20,2017-04-24 07:26:33,高雄市,三民區,nicesky115,
No.21,2017-04-24 12:27:34,新北市,新店區,Phonikas Smetana,
No.22,2017-04-24 13:18:52,桃園市,桃園區,提姆熊,抽菸都去死死好了!
No.23,2017-04-24 13:23:20,新北市,永和區,gertrude,
No.24,2017-04-24 13:53:05,新北市,永和區,LEE,
No.25,2017-04-24 14:56:07,新北市,汐止區,Freddy,
No.26,2017-04-24 15:09:12,新北市,汐止區,victor333,不想吸二手菸
No.27,2017-04-24 15:28:19,新竹市,東區,An,
No.28,2017-04-24 17:12:24,臺北市,大安區,Youzi,任何吸菸、點菸...等菸害行為，都不應於行駛、行人、公眾空間...等會對他人或環境造成影響的情況下發生，危害他人健康或造成任何潛在風險。
No.29,2017-04-24 19:54:37,臺中市,大里區,靖宜,
No.30,2017-04-24 20:12:23,新北市,蘆洲區,冰紅茶,
No.31,2017-04-24 22:08:34,臺南市,東山區,路人,
No.32,2017-04-24 23:02:00,新竹市,東區,Hnery,
No.33,2017-04-25 00:48:09,高雄市,鼓山區,阿猴,"不喜歡停個紅綠燈，旁邊飄出惡臭的煙味
或是檳榔吃完亂丟 造成後面車輛的危險"
